ZipCode,county,state,Geriatric
75052,Dallas County,TX,27.77777777777778
75070,Collin County,TX,12.777777777777777
75075,Collin County,TX,92.22222222222223
76033,Johnson County,TX,51.11111111111111
76550,Lampasas County,TX,50
79707,Midland County,TX,91.11111111111111
84653,Utah County,UT,99.44444444444444
84790,Washington County,UT,27.22222222222222
22560,Essex County,VA,86.11111111111111
23059,Henrico County,VA,58.333333333333336
23462,Virginia Beach city,VA,5.555555555555555
24153,Salem city,VA,15
98092,King County,WA,30.555555555555557
98125,King County,WA,32.22222222222222
98198,King County,WA,22.77777777777778
98382,Clallam County,WA,1.1111111111111112
98466,Pierce County,WA,41.66666666666667
20016,District of Columbia,DC,62.22222222222222
25314,Kanawha County,WV,76.11111111111111
54963,Winnebago County,WI,96.11111111111111
