ZipCode,county,state,Pediatric,Adult
35004,St. Clair County,AL,58.88888888888889,NA
36109,Montgomery County,AL,NA,85.81560283687944
36610,Mobile County,AL,62.77777777777778,NA
36874,Lee County,AL,NA,86.87943262411348
99504,Anchorage Municipality,AK,30,NA
99604,Wade Hampton Census Area,AK,81.66666666666667,NA
99645,Matanuska-Susitna Borough,AK,73.33333333333333,NA
85120,Pinal County,AZ,NA,44.680851063829785
85210,Maricopa County,AZ,NA,56.02836879432624
85212,Maricopa County,AZ,NA,58.156028368794324
85283,Maricopa County,AZ,NA,21.27659574468085
85297,Maricopa County,AZ,NA,63.47517730496454
85301,Maricopa County,AZ,NA,8.156028368794328
85550,Graham County,AZ,97.77777777777777,NA
85706,Pima County,AZ,NA,19.148936170212767
86409,Mohave County,AZ,NA,12.056737588652481
90003,Los Angeles County,CA,21.11111111111111,NA
90018,Los Angeles County,CA,48.888888888888886,NA
90033,Los Angeles County,CA,NA,74.46808510638297
90221,Los Angeles County,CA,NA,13.829787234042554
91007,Los Angeles County,CA,NA,90.0709219858156
91910,San Diego County,CA,NA,29.78723404255319
92083,San Diego County,CA,28.888888888888886,NA
92101,San Diego County,CA,NA,48.93617021276596
92399,San Bernardino County,CA,NA,34.04255319148936
93004,Ventura County,CA,NA,82.62411347517731
93063,Ventura County,CA,NA,37.5886524822695
93202,Kings County,CA,NA,97.16312056737588
93927,Monterey County,CA,NA,75.88652482269504
93933,Monterey County,CA,NA,65.95744680851064
94118,San Francisco County,CA,NA,56.38297872340425
94603,Alameda County,CA,38.333333333333336,NA
95361,Stanislaus County,CA,NA,44.32624113475177
95451,Lake County,CA,NA,79.7872340425532
95928,Butte County,CA,NA,66.66666666666666
95946,Nevada County,CA,NA,87.94326241134752
80005,Jefferson County,CO,85.55555555555556,NA
80022,Adams County,CO,22.22222222222222,NA
80204,Denver County,CO,NA,25.177304964539005
80233,Adams County,CO,NA,30.851063829787233
80603,Weld County,CO,NA,79.43262411347519
06226,Windham County,CT,NA,19.50354609929078
06249,New London County,CT,NA,83.68794326241135
06457,Middlesex County,CT,NA,86.17021276595744
06511,New Haven County,CT,13.333333333333334,NA
06759,Litchfield County,CT,NA,90.78014184397163
19808,New Castle County,DE,NA,26.95035460992908
32082,St. Johns County,FL,NA,100
32086,St. Johns County,FL,NA,74.11347517730496
32217,Duval County,FL,NA,70.92198581560284
32224,Duval County,FL,75.55555555555556,NA
32601,Alachua County,FL,NA,61.347517730496456
32608,Alachua County,FL,NA,11.347517730496454
32615,Alachua County,FL,84.44444444444444,NA
32708,Seminole County,FL,NA,76.24113475177306
32725,Volusia County,FL,27.22222222222222,NA
32746,Seminole County,FL,NA,95.39007092198581
32771,Seminole County,FL,40.55555555555556,NA
33183,Miami-Dade County,FL,NA,80.1418439716312
33326,Broward County,FL,NA,80.49645390070921
33558,Hillsborough County,FL,96.66666666666667,NA
33579,Hillsborough County,FL,NA,71.63120567375887
33809,Polk County,FL,NA,52.12765957446809
33825,Highlands County,FL,60,NA
33897,Polk County,FL,NA,74.822695035461
34232,Sarasota County,FL,67.22222222222223,NA
34288,Sarasota County,FL,NA,85.1063829787234
34606,Hernando County,FL,NA,46.45390070921986
34677,Pinellas County,FL,NA,78.36879432624113
30253,Henry County,GA,39.44444444444444,NA
30525,Rabun County,GA,82.22222222222221,NA
30815,Richmond County,GA,NA,24.822695035460992
31211,Bibb County,GA,NA,71.63120567375887
