ZipCode,county,state,Youth,Pediatric,Adult
35004,St. Clair County,AL,NA,NA,76.35863818989216
35005,Jefferson County,AL,NA,NA,46.06682173821104
35007,Shelby County,AL,NA,NA,70.64918587439205
35016,Marshall County,AL,NA,NA,58.775639670120526
35020,Jefferson County,AL,NA,NA,1.215901882004652
35022,Jefferson County,AL,NA,NA,45.45358426728695
35023,Jefferson County,AL,NA,NA,4.313808416155635
35040,Shelby County,AL,NA,NA,55.50856417847325
35042,Bibb County,AL,NA,NA,44.681750898710085
35043,Shelby County,AL,NA,NA,40.66398815817298
35044,Talladega County,AL,NA,NA,83.87608373863395
35045,Chilton County,AL,NA,NA,80.43983928949038
35046,Chilton County,AL,NA,NA,89.99788538803129
35049,Blount County,AL,NA,NA,86.29731444279975
35055,Cullman County,AL,NA,NA,41.43582152674984
35063,Walker County,AL,NA,NA,87.06914781137661
35064,Jefferson County,AL,NA,NA,16.842884330725312
35071,Jefferson County,AL,NA,NA,28.008035525481073
35072,Coosa County,AL,NA,NA,51.57538591668429
35077,Cullman County,AL,NA,NA,17.054345527595686
35079,Blount County,AL,NA,NA,88.86656798477479
35080,Shelby County,AL,NA,NA,45.52759568619159
35094,Jefferson County,AL,NA,72.87581699346404,47.251004440685136
35096,Talladega County,AL,NA,NA,57.929794882639044
35111,Tuscaloosa County,AL,NA,NA,9.145696764643688
35114,Shelby County,AL,NA,NA,64.04102347219285
35117,Jefferson County,AL,NA,NA,60.805667160076126
35120,St. Clair County,AL,NA,NA,17.329245083527173
35121,Blount County,AL,NA,NA,19.126665256925353
35124,Shelby County,AL,NA,NA,82.07866356523577
35126,Jefferson County,AL,NA,57.51633986928104,12.560795094100232
35127,Jefferson County,AL,NA,NA,45.21040389088603
35147,Shelby County,AL,NA,NA,89.828716430535
35150,Talladega County,AL,NA,NA,27.088179319094944
35160,Talladega County,AL,NA,NA,21.114400507506872
35173,Jefferson County,AL,NA,NA,35.61006555297103
35175,Marshall County,AL,NA,NA,54.842461408331566
35179,Cullman County,AL,NA,NA,50.41234933389723
35180,Jefferson County,AL,NA,NA,75.65024318037639
35184,Bibb County,AL,NA,NA,32.586170437724675
35204,Jefferson County,AL,NA,NA,25.861704377246774
35205,Jefferson County,AL,NA,NA,21.262423345316133
35208,Jefferson County,AL,NA,NA,26.104884753647706
35209,Jefferson County,AL,NA,73.20261437908496,69.20067667582998
35211,Jefferson County,AL,NA,NA,1.4167900190315077
35213,Jefferson County,AL,NA,NA,56.13237470924085
35214,Jefferson County,AL,NA,54.248366013071895,NA
35215,Jefferson County,AL,NA,NA,0.5815182913935293
35216,Jefferson County,AL,NA,NA,59.97039543243815
35217,Jefferson County,AL,NA,NA,10.710509621484457
