ZipCode,county,state,Youth,Adult,Geriatric
33150,Miami-Dade County,FL,57.08333333333333,NA,NA
33311,Broward County,FL,2.9166666666666665,NA,NA
33317,Broward County,FL,NA,81.53846153846153,NA
33325,Broward County,FL,NA,75.38461538461539,NA
33326,Broward County,FL,NA,NA,57.065217391304344
33327,Broward County,FL,89.58333333333334,NA,NA
33428,Palm Beach County,FL,NA,43.84615384615385,NA
33432,Palm Beach County,FL,NA,NA,28.804347826086957
33458,Palm Beach County,FL,NA,28.076923076923077,NA
33467,Palm Beach County,FL,NA,NA,13.043478260869565
33547,Hillsborough County,FL,53.75,NA,NA
33573,Hillsborough County,FL,NA,NA,1.0869565217391304
33615,Hillsborough County,FL,NA,32.69230769230769,NA
33647,Hillsborough County,FL,NA,NA,45.65217391304348
33755,Pinellas County,FL,69.58333333333333,NA,NA
33765,Pinellas County,FL,82.91666666666667,NA,NA
33810,Polk County,FL,41.25,NA,NA
33936,Lee County,FL,NA,54.61538461538461,NA
34135,Lee County,FL,NA,56.15384615384615,NA
34223,Sarasota County,FL,NA,90.38461538461539,34.23913043478261
34239,Sarasota County,FL,NA,83.84615384615385,NA
34275,Sarasota County,FL,NA,NA,15.760869565217392
34470,Marion County,FL,59.583333333333336,NA,NA
34715,Lake County,FL,77.08333333333334,NA,NA
34743,Osceola County,FL,NA,NA,70.65217391304348
34787,Orange County,FL,37.5,NA,NA
34952,St. Lucie County,FL,NA,NA,5.978260869565218
34972,Okeechobee County,FL,NA,66.15384615384615,NA
34983,St. Lucie County,FL,NA,NA,30.434782608695656
30047,Gwinnett County,GA,64.16666666666667,NA,50.54347826086957
30088,DeKalb County,GA,72.91666666666666,NA,NA
30115,Cherokee County,GA,60.83333333333333,NA,NA
30117,Carroll County,GA,NA,39.23076923076923,NA
30165,Floyd County,GA,NA,NA,41.30434782608695
30180,Carroll County,GA,15.833333333333332,NA,77.71739130434783
30311,Fulton County,GA,52.083333333333336,NA,NA
30329,DeKalb County,GA,85.41666666666666,NA,NA
30415,Bulloch County,GA,NA,87.6923076923077,NA
30540,Gilmer County,GA,NA,NA,86.95652173913044
30655,Walton County,GA,NA,44.230769230769226,NA
30741,Walker County,GA,NA,23.46153846153846,NA
31005,Houston County,GA,NA,85.76923076923076,NA
31021,Laurens County,GA,NA,47.69230769230769,NA
31635,Lanier County,GA,98.75,NA,NA
31906,Muscogee County,GA,NA,49.23076923076923,NA
96720,Hawaii County,HI,50,NA,34.78260869565217
96814,Honolulu County,HI,NA,72.3076923076923,NA
96816,Honolulu County,HI,46.25,NA,NA
83651,Canyon County,ID,NA,NA,11.956521739130435
60076,Cook County,IL,80.41666666666667,NA,NA
60148,DuPage County,IL,NA,20.384615384615383,NA
60156,McHenry County,IL,NA,44.61538461538462,NA
60406,Cook County,IL,85,NA,NA
60409,Cook County,IL,NA,67.6923076923077,NA
60453,Cook County,IL,NA,NA,3.804347826086957
60546,Cook County,IL,NA,55.00000000000001,NA
60564,Will County,IL,NA,45.76923076923077,NA
60616,Cook County,IL,NA,NA,21.73913043478261
60622,Cook County,IL,NA,45.38461538461539,NA
60644,Cook County,IL,33.75,NA,NA
60657,Cook County,IL,NA,NA,19.021739130434785
60707,Cook County,IL,NA,24.23076923076923,NA
61008,Boone County,IL,NA,NA,33.15217391304348
61021,Lee County,IL,NA,36.53846153846153,NA
61550,Tazewell County,IL,NA,NA,53.80434782608695
61764,Livingston County,IL,NA,NA,78.26086956521739
62948,Williamson County,IL,NA,NA,73.36956521739131
62959,Williamson County,IL,NA,NA,17.934782608695652
46135,Putnam County,IN,NA,NA,44.02173913043478
46143,Johnson County,IN,27.916666666666668,NA,NA
46268,Marion County,IN,NA,51.92307692307693,NA
46307,Lake County,IN,NA,3.4615384615384617,NA
46310,Jasper County,IN,NA,58.07692307692308,NA
46350,LaPorte County,IN,NA,11.153846153846155,NA
46375,Lake County,IN,NA,NA,22.82608695652174
46514,Elkhart County,IN,NA,33.46153846153846,NA
46580,Kosciusko County,IN,NA,NA,31.521739130434785
46613,St. Joseph County,IN,NA,89.61538461538461,NA
46805,Allen County,IN,NA,NA,58.69565217391305
46806,Allen County,IN,27.500000000000004,NA,NA
46808,Allen County,IN,45.83333333333333,NA,NA
46835,Allen County,IN,NA,NA,27.173913043478258
46928,Grant County,IN,NA,99.23076923076923,NA
47150,Floyd County,IN,NA,14.23076923076923,NA
47201,Bartholomew County,IN,3.75,NA,NA
47303,Delaware County,IN,NA,NA,73.91304347826086
47803,Vigo County,IN,NA,NA,41.84782608695652
47978,Jasper County,IN,72.5,NA,NA
50049,Lucas County,IA,NA,NA,79.34782608695652
50315,Polk County,IA,NA,39.61538461538461,NA
50320,Polk County,IA,NA,55.38461538461539,NA
50702,Black Hawk County,IA,74.58333333333333,NA,NA
51108,Woodbury County,IA,NA,NA,97.82608695652173
51576,Pottawattamie County,IA,NA,100,NA
52001,Dubuque County,IA,21.666666666666668,NA,NA
52302,Linn County,IA,NA,NA,50
52722,Scott County,IA,16.25,NA,NA
66032,Anderson County,KS,NA,NA,95.1086956521739
66061,Johnson County,KS,NA,23.846153846153847,NA
66208,Johnson County,KS,66.25,NA,NA
66215,Johnson County,KS,NA,NA,47.82608695652174
66605,Shawnee County,KS,NA,57.30769230769231,NA
40203,Jefferson County,KY,NA,25.384615384615383,NA
40403,Madison County,KY,NA,26.153846153846157,NA
41042,Boone County,KY,NA,6.923076923076923,NA
42539,Casey County,KY,NA,NA,81.52173913043478
42718,Taylor County,KY,42.5,NA,NA
42726,Grayson County,KY,NA,92.3076923076923,NA
70065,Jefferson Parish,LA,NA,NA,1.6304347826086956
70092,St. Bernard Parish,LA,76.25,NA,NA
70112,Orleans Parish,LA,NA,75,NA
70127,Orleans Parish,LA,NA,8.846153846153847,NA
70380,St. Mary Parish,LA,14.583333333333334,NA,NA
70394,Lafourche Parish,LA,34.166666666666664,NA,NA
70452,St. Tammany Parish,LA,49.583333333333336,NA,NA
70503,Lafayette Parish,LA,26.666666666666668,NA,NA
70584,St. Landry Parish,LA,NA,NA,94.02173913043478
70634,Beauregard Parish,LA,9.166666666666666,NA,NA
70714,East Baton Rouge Parish,LA,NA,27.307692307692307,NA
71105,Caddo Parish,LA,NA,NA,48.91304347826087
71108,Caddo Parish,LA,NA,13.461538461538462,NA
71112,Bossier Parish,LA,NA,NA,35.869565217391305
71201,Ouachita Parish,LA,NA,NA,69.02173913043478
71360,Rapides Parish,LA,19.166666666666668,NA,NA
71457,Natchitoches Parish,LA,NA,NA,37.5
20715,Prince George's County,MD,NA,NA,99.45652173913044
20774,Prince George's County,MD,NA,NA,53.80434782608695
20814,Montgomery County,MD,NA,NA,78.80434782608695
20854,Montgomery County,MD,57.49999999999999,NA,NA
20906,Montgomery County,MD,NA,58.46153846153847,NA
21009,Harford County,MD,NA,53.84615384615385,NA
21037,Anne Arundel County,MD,NA,73.84615384615385,NA
21122,Anne Arundel County,MD,NA,10,NA
