ZipCode,county,state,Youth,Pediatric,Adult
35023,Jefferson County,AL,NA,73.22834645669292,NA
35080,Shelby County,AL,NA,86.22047244094489,NA
35160,Talladega County,AL,NA,36.61417322834646,NA
35211,Jefferson County,AL,NA,NA,67.8391959798995
35228,Jefferson County,AL,NA,NA,63.81909547738693
35442,Pickens County,AL,94.1340782122905,NA,NA
35816,Madison County,AL,NA,50.78740157480315,NA
35901,Etowah County,AL,42.17877094972067,NA,NA
36027,Barbour County,AL,71.50837988826815,NA,NA
36067,Autauga County,AL,28.212290502793298,42.125984251968504,NA
36108,Montgomery County,AL,NA,38.188976377952756,NA
36110,Montgomery County,AL,54.46927374301676,NA,NA
36251,Clay County,AL,NA,96.06299212598425,NA
36345,Henry County,AL,82.68156424581005,NA,NA
36522,Mobile County,AL,NA,89.76377952755905,NA
36869,Russell County,AL,NA,87.79527559055119,NA
99701,Fairbanks North Star Borough,AK,58.10055865921788,NA,NA
85008,Maricopa County,AZ,NA,30.314960629921263,NA
85009,Maricopa County,AZ,10.05586592178771,NA,NA
85041,Maricopa County,AZ,6.983240223463687,NA,NA
85051,Maricopa County,AZ,NA,37.00787401574803,NA
85143,Pinal County,AZ,42.17877094972067,NA,NA
85283,Maricopa County,AZ,NA,NA,78.89447236180904
85302,Maricopa County,AZ,NA,32.677165354330704,NA
85310,Maricopa County,AZ,70.39106145251397,NA,NA
85363,Maricopa County,AZ,NA,97.63779527559055,NA
85364,Yuma County,AZ,NA,13.385826771653544,NA
85381,Maricopa County,AZ,NA,NA,66.83417085427136
85607,Cochise County,AZ,NA,8.267716535433072,NA
85621,Santa Cruz County,AZ,22.3463687150838,NA,NA
85713,Pima County,AZ,NA,26.37795275590551,NA
85743,Pima County,AZ,56.14525139664804,NA,NA
85746,Pima County,AZ,NA,42.91338582677165,NA
86001,Coconino County,AZ,5.865921787709497,NA,NA
86442,Mohave County,AZ,NA,NA,33.66834170854271
72034,Faulkner County,AR,93.85474860335195,NA,NA
72904,Sebastian County,AR,85.75418994413407,NA,NA
72956,Crawford County,AR,51.39664804469274,NA,NA
90002,Los Angeles County,CA,56.424581005586596,NA,NA
90037,Los Angeles County,CA,29.329608938547487,66.53543307086615,NA
90043,Los Angeles County,CA,NA,NA,49.74874371859296
90044,Los Angeles County,CA,NA,7.086614173228346,NA
90062,Los Angeles County,CA,NA,69.68503937007874,NA
90063,Los Angeles County,CA,NA,NA,54.2713567839196
90220,Los Angeles County,CA,75.41899441340783,NA,NA
90245,Los Angeles County,CA,79.88826815642457,NA,NA
90249,Los Angeles County,CA,NA,NA,89.9497487437186
90272,Los Angeles County,CA,87.43016759776536,NA,NA
90504,Los Angeles County,CA,NA,NA,71.85929648241206
90605,Los Angeles County,CA,75.13966480446928,NA,NA
90638,Los Angeles County,CA,NA,89.76377952755905,NA
90640,Los Angeles County,CA,46.927374301675975,NA,NA
90815,Los Angeles County,CA,76.25698324022346,NA,NA
91302,Los Angeles County,CA,NA,NA,80.90452261306532
91364,Los Angeles County,CA,89.10614525139665,NA,NA
91950,San Diego County,CA,35.754189944134076,NA,NA
92020,San Diego County,CA,45.2513966480447,NA,NA
92071,San Diego County,CA,NA,90.5511811023622,NA
92104,San Diego County,CA,NA,NA,32.1608040201005
92113,San Diego County,CA,28.49162011173184,19.291338582677163,NA
92128,San Diego County,CA,57.54189944134078,NA,NA
92225,Riverside County,CA,89.94413407821229,NA,NA
92234,Riverside County,CA,NA,46.45669291338583,NA
92256,San Bernardino County,CA,99.4413407821229,NA,NA
92284,San Bernardino County,CA,78.2122905027933,NA,NA
92307,San Bernardino County,CA,NA,NA,33.165829145728644
92335,San Bernardino County,CA,NA,14.566929133858267,NA
92336,San Bernardino County,CA,18.994413407821227,NA,NA
92392,San Bernardino County,CA,15.083798882681565,NA,NA
92407,San Bernardino County,CA,NA,33.46456692913386,NA
92612,Orange County,CA,NA,99.60629921259843,NA
92646,Orange County,CA,77.6536312849162,NA,NA
92780,Orange County,CA,NA,34.645669291338585,NA
92833,Orange County,CA,NA,67.71653543307087,NA
92882,Riverside County,CA,NA,NA,34.17085427135678
92886,Orange County,CA,41.340782122905026,NA,NA
93308,Kern County,CA,NA,59.84251968503938,NA
93402,San Luis Obispo County,CA,NA,83.85826771653542,NA
93422,San Luis Obispo County,CA,65.08379888268156,NA,NA
93436,Santa Barbara County,CA,12.849162011173185,NA,NA
93446,San Luis Obispo County,CA,NA,11.811023622047244,NA
93550,Los Angeles County,CA,NA,18.503937007874015,NA
93706,Fresno County,CA,NA,16.535433070866144,NA
93722,Fresno County,CA,NA,7.874015748031496,NA
93905,Monterey County,CA,61.452513966480446,31.88976377952756,NA
94103,San Francisco County,CA,NA,NA,43.71859296482412
94124,San Francisco County,CA,NA,NA,28.14070351758794
94303,San Mateo County,CA,NA,29.527559055118108,NA
94541,Alameda County,CA,NA,NA,25.628140703517587
94560,Alameda County,CA,87.43016759776536,NA,NA
94566,Alameda County,CA,NA,NA,64.82412060301507
94568,Alameda County,CA,NA,NA,56.28140703517588
94611,Alameda County,CA,63.96648044692738,NA,NA
95215,San Joaquin County,CA,84.35754189944134,NA,NA
95240,San Joaquin County,CA,NA,NA,19.09547738693467
95458,Lake County,CA,NA,99.21259842519686,NA
95482,Mendocino County,CA,NA,61.023622047244096,NA
95492,Sonoma County,CA,NA,NA,65.82914572864321
95747,Placer County,CA,67.31843575418995,NA,NA
95838,Sacramento County,CA,NA,56.69291338582677,40.7035175879397
95841,Sacramento County,CA,NA,88.9763779527559,NA
95842,Sacramento County,CA,64.24581005586593,NA,NA
95901,Yuba County,CA,35.19553072625698,NA,NA
95926,Butte County,CA,25.139664804469277,NA,NA
95928,Butte County,CA,NA,52.75590551181102,NA
80020,Broomfield County,CO,66.4804469273743,NA,NA
80021,Jefferson County,CO,38.26815642458101,NA,NA
80026,Boulder County,CO,NA,87.4015748031496,NA
80110,Arapahoe County,CO,NA,54.7244094488189,NA
80120,Arapahoe County,CO,NA,NA,65.32663316582915
80205,Denver County,CO,20.949720670391063,NA,NA
80238,Denver County,CO,NA,NA,76.88442211055276
80239,Denver County,CO,NA,NA,26.13065326633166
80241,Adams County,CO,NA,74.80314960629921,NA
80260,Adams County,CO,NA,NA,51.256281407035175
80909,El Paso County,CO,NA,NA,98.49246231155779
81201,Chaffee County,CO,NA,NA,80.90452261306532
81526,Mesa County,CO,NA,NA,94.9748743718593
06010,Hartford County,CT,7.262569832402235,NA,NA
06062,Hartford County,CT,97.48603351955308,NA,NA
06095,Hartford County,CT,NA,84.25196850393701,NA
06106,Hartford County,CT,11.452513966480447,NA,NA
06120,Hartford County,CT,NA,33.46456692913386,NA
06260,Windham County,CT,45.81005586592179,NA,NA
06413,Middlesex County,CT,87.15083798882681,NA,NA
06477,New Haven County,CT,94.6927374301676,NA,NA
06511,New Haven County,CT,NA,29.133858267716533,NA
06513,New Haven County,CT,NA,NA,7.537688442211055
06515,New Haven County,CT,NA,43.7007874015748,NA
06517,New Haven County,CT,68.43575418994413,NA,NA
06608,Fairfield County,CT,NA,42.125984251968504,NA
06716,New Haven County,CT,72.90502793296089,NA,NA
19702,New Castle County,DE,17.318435754189945,NA,NA
