ZipCode,county,state,Geriatric
35218,Jefferson County,AL,87.8048780487805
36251,Clay County,AL,97.07317073170731
99517,Anchorage Municipality,AK,96.09756097560975
85138,Pinal County,AZ,76.58536585365854
85351,Maricopa County,AZ,1.4634146341463417
85364,Yuma County,AZ,5.365853658536586
85383,Maricopa County,AZ,93.17073170731707
72032,Faulkner County,AR,64.39024390243902
90011,Los Angeles County,CA,75.1219512195122
90013,Los Angeles County,CA,92.19512195121952
90033,Los Angeles County,CA,43.90243902439025
90063,Los Angeles County,CA,57.073170731707314
90631,Orange County,CA,24.390243902439025
90732,Los Angeles County,CA,57.56097560975609
90813,Los Angeles County,CA,72.1951219512195
91321,Los Angeles County,CA,40.97560975609756
91356,Los Angeles County,CA,29.268292682926827
91724,Los Angeles County,CA,71.21951219512195
91762,San Bernardino County,CA,53.170731707317074
92114,San Diego County,CA,31.21951219512195
92374,San Bernardino County,CA,48.292682926829265
92395,San Bernardino County,CA,39.02439024390244
92708,Orange County,CA,26.82926829268293
92805,Orange County,CA,99.51219512195122
92833,Orange County,CA,52.19512195121951
93306,Kern County,CA,40.487804878048784
93923,Monterey County,CA,14.146341463414632
94030,San Mateo County,CA,23.414634146341466
94118,San Francisco County,CA,22.926829268292686
94531,Contra Costa County,CA,42.4390243902439
94595,Contra Costa County,CA,11.219512195121952
94952,Sonoma County,CA,50.24390243902439
95382,Stanislaus County,CA,45.36585365853659
95667,El Dorado County,CA,2.9268292682926833
95821,Sacramento County,CA,73.65853658536585
80023,Broomfield County,CO,98.53658536585365
80209,Denver County,CO,71.70731707317073
80222,Denver County,CO,81.46341463414633
80247,Arapahoe County,CO,36.09756097560975
06067,Hartford County,CT,64.8780487804878
06604,Fairfield County,CT,62.4390243902439
19806,New Castle County,DE,47.80487804878049
32128,Volusia County,FL,42.926829268292686
32159,Lake County,FL,8.292682926829269
32218,Duval County,FL,27.31707317073171
32446,Jackson County,FL,79.51219512195122
33027,Broward County,FL,8.780487804878048
33134,Miami-Dade County,FL,32.19512195121951
33145,Miami-Dade County,FL,33.170731707317074
33327,Broward County,FL,87.3170731707317
33417,Palm Beach County,FL,25.365853658536587
33496,Palm Beach County,FL,10.24390243902439
33573,Hillsborough County,FL,4.390243902439024
33903,Lee County,FL,30.24390243902439
33931,Lee County,FL,59.512195121951216
30071,Gwinnett County,GA,93.65853658536587
30093,Gwinnett County,GA,82.92682926829268
30106,Cobb County,GA,97.5609756097561
30294,DeKalb County,GA,67.8048780487805
31015,Crisp County,GA,55.60975609756098
31088,Houston County,GA,19.024390243902438
31220,Bibb County,GA,90.2439024390244
31522,Glynn County,GA,68.78048780487805
83402,Bonneville County,ID,91.70731707317074
60124,Kane County,IL,39.51219512195122
60428,Cook County,IL,84.39024390243902
60615,Cook County,IL,21.951219512195124
60619,Cook County,IL,2.4390243902439024
60620,Cook County,IL,5.853658536585367
61550,Tazewell County,IL,44.390243902439025
61571,Tazewell County,IL,51.707317073170735
46341,Porter County,IN,83.41463414634146
46530,St. Joseph County,IN,85.36585365853658
46637,St. Joseph County,IN,89.26829268292683
47960,White County,IN,38.53658536585366
50588,Buena Vista County,IA,88.29268292682927
52241,Johnson County,IA,81.95121951219512
52245,Johnson County,IA,53.65853658536586
67410,Dickinson County,KS,66.82926829268293
40208,Jefferson County,KY,94.14634146341463
41075,Campbell County,KY,95.1219512195122
41144,Greenup County,KY,73.17073170731707
42754,Grayson County,KY,46.34146341463415
70092,St. Bernard Parish,LA,80.48780487804879
70441,St. Helena Parish,LA,77.5609756097561
04093,York County,ME,89.75609756097562
20744,Prince George's County,MD,49.75609756097561
21204,Baltimore County,MD,55.1219512195122
21208,Baltimore County,MD,17.073170731707318
21230,Baltimore city,MD,68.29268292682927
21797,Howard County,MD,98.04878048780488
01602,Worcester County,MA,25.853658536585368
01720,Middlesex County,MA,40
01801,Middlesex County,MA,15.121951219512194
01966,Essex County,MA,70.73170731707317
02720,Bristol County,MA,3.902439024390244
48060,St. Clair County,MI,20
48168,Wayne County,MI,32.19512195121951
48430,Genesee County,MI,23.902439024390244
48858,Isabella County,MI,12.682926829268293
49203,Jackson County,MI,37.5609756097561
49546,Kent County,MI,16.097560975609756
55066,Goodhue County,MN,14.634146341463413
55113,Ramsey County,MN,77.07317073170732
56425,Crow Wing County,MN,35.12195121951219
39305,Lauderdale County,MS,78.53658536585367
39759,Oktibbeha County,MS,63.90243902439025
63775,Perry County,MO,27.80487804878049
63857,Dunklin County,MO,74.14634146341463
64055,Jackson County,MO,18.048780487804876
68118,Douglas County,NE,95.60975609756098
89447,Lyon County,NV,81.95121951219512
03431,Cheshire County,NH,9.268292682926829
07054,Morris County,NJ,69.7560975609756
07090,Union County,NJ,43.41463414634146
08077,Burlington County,NJ,58.536585365853654
08757,Ocean County,NJ,0.4878048780487805
87031,Valencia County,NM,58.048780487804876
88203,Chaves County,NM,59.02439024390244
10021,New York County,NY,20.975609756097562
10598,Westchester County,NY,68.78048780487805
11003,Nassau County,NY,48.78048780487805
11203,Kings County,NY,11.707317073170733
11204,Kings County,NY,9.75609756097561
11429,Queens County,NY,65.85365853658537
11550,Nassau County,NY,34.63414634146341
14120,Niagara County,NY,28.292682926829265
14617,Monroe County,NY,33.65853658536586
14870,Steuben County,NY,65.3658536585366
27030,Surry County,NC,1.951219512195122
27215,Alamance County,NC,12.195121951219512
27707,Durham County,NC,21.463414634146343
28075,Cabarrus County,NC,74.63414634146342
28352,Scotland County,NC,52.6829268292683
28358,Robeson County,NC,56.09756097560976
28640,Ashe County,NC,80.97560975609757
28712,Transylvania County,NC,13.170731707317074
58701,Ward County,ND,3.414634146341464
43113,Pickaway County,OH,10.731707317073171
43229,Franklin County,OH,22.439024390243905
43623,Lucas County,OH,34.146341463414636
43938,Jefferson County,OH,70.24390243902438
44060,Lake County,OH,0
44092,Lake County,OH,13.658536585365855
44094,Lake County,OH,17.560975609756095
44406,Mahoning County,OH,28.780487804878046
45122,Clermont County,OH,75.60975609756098
45241,Hamilton County,OH,76.09756097560975
45439,Montgomery County,OH,80
45769,Meigs County,OH,63.41463414634146
45805,Allen County,OH,31.70731707317073
45833,Allen County,OH,51.21951219512195
73069,Cleveland County,OK,44.87804878048781
73132,Oklahoma County,OK,72.6829268292683
74135,Tulsa County,OK,37.073170731707314
97448,Lane County,OR,88.78048780487805
97467,Douglas County,OR,61.951219512195124
97504,Jackson County,OR,6.341463414634147
15106,Allegheny County,PA,60.97560975609756
15237,Allegheny County,PA,6.829268292682928
15478,Fayette County,PA,85.85365853658537
15601,Westmoreland County,PA,0.975609756097561
16323,Venango County,PA,41.951219512195124
16686,Blair County,PA,53.65853658536586
18940,Bucks County,PA,50.73170731707317
18964,Montgomery County,PA,62.926829268292686
19111,Philadelphia County,PA,15.609756097560975
19330,Chester County,PA,100
02882,Washington County,RI,35.609756097560975
29073,Lexington County,SC,45.85365853658537
29302,Spartanburg County,SC,61.46341463414634
29720,Lancaster County,SC,30.73170731707317
37166,DeKalb County,TN,60
37206,Davidson County,TN,84.8780487804878
37218,Davidson County,TN,66.34146341463415
37857,Hawkins County,TN,38.048780487804876
