ZipCode,county,state,Pediatric
35216,Jefferson County,AL,63.69047619047619
85008,Maricopa County,AZ,16.666666666666664
85009,Maricopa County,AZ,33.92857142857143
85041,Maricopa County,AZ,30.952380952380953
85122,Pinal County,AZ,39.88095238095239
85213,Maricopa County,AZ,83.33333333333334
85635,Cochise County,AZ,40.476190476190474
85713,Pima County,AZ,13.690476190476192
85743,Pima County,AZ,70.23809523809523
85941,Apache County,AZ,72.61904761904762
86503,Apache County,AZ,39.285714285714285
86505,Apache County,AZ,26.190476190476193
86538,Apache County,AZ,90.47619047619048
91977,San Diego County,CA,42.26190476190476
92027,San Diego County,CA,25
92201,Riverside County,CA,47.023809523809526
93230,Kings County,CA,19.047619047619047
93422,San Luis Obispo County,CA,64.88095238095238
93436,Santa Barbara County,CA,46.42857142857143
93534,Los Angeles County,CA,61.904761904761905
93638,Madera County,CA,14.285714285714285
93702,Fresno County,CA,41.07142857142857
93722,Fresno County,CA,29.761904761904763
94801,Contra Costa County,CA,79.76190476190477
95366,San Joaquin County,CA,82.14285714285714
95367,Stanislaus County,CA,99.40476190476191
95454,Mendocino County,CA,98.21428571428571
06234,Windham County,CT,93.45238095238095
32712,Orange County,FL,58.333333333333336
32796,Brevard County,FL,73.80952380952381
33020,Broward County,FL,47.61904761904761
33128,Miami-Dade County,FL,65.47619047619048
33311,Broward County,FL,10.714285714285714
33612,Hillsborough County,FL,15.476190476190476
33974,Lee County,FL,67.26190476190477
34608,Hernando County,FL,48.80952380952381
34787,Orange County,FL,67.26190476190477
30088,DeKalb County,GA,69.64285714285714
30344,Fulton County,GA,54.166666666666664
96792,Honolulu County,HI,50.595238095238095
96797,Honolulu County,HI,63.69047619047619
83843,Latah County,ID,66.07142857142857
46235,Marion County,IN,44.047619047619044
47713,Vanderburgh County,IN,92.26190476190477
50208,Jasper County,IA,88.09523809523809
51104,Woodbury County,IA,81.54761904761905
52641,Henry County,IA,86.90476190476191
40217,Jefferson County,KY,95.83333333333334
40324,Scott County,KY,45.83333333333333
40504,Fayette County,KY,53.57142857142857
42320,Ohio County,KY,47.61904761904761
70435,St. Tammany Parish,LA,33.33333333333333
70448,St. Tammany Parish,LA,29.166666666666668
04005,York County,ME,50
04090,York County,ME,98.80952380952381
04841,Knox County,ME,80.95238095238095
01040,Hampden County,MA,4.761904761904762
01830,Essex County,MA,51.78571428571429
01854,Middlesex County,MA,9.523809523809524
02150,Suffolk County,MA,2.976190476190476
55418,Hennepin County,MN,44.642857142857146
55419,Hennepin County,MN,32.73809523809524
55746,St. Louis County,MN,36.904761904761905
56501,Becker County,MN,42.26190476190476
56701,Pennington County,MN,85.11904761904762
39211,Hinds County,MS,52.38095238095239
63379,Lincoln County,MO,57.14285714285714
64052,Jackson County,MO,41.66666666666667
64119,Clay County,MO,73.80952380952381
65013,Maries County,MO,86.90476190476191
65803,Greene County,MO,23.214285714285715
03104,Hillsborough County,NH,62.5
03820,Strafford County,NH,79.16666666666666
87105,Bernalillo County,NM,11.904761904761903
87110,Bernalillo County,NM,83.33333333333334
87123,Bernalillo County,NM,25
87420,San Juan County,NM,51.19047619047619
88340,Otero County,NM,62.5
10029,New York County,NY,4.166666666666666
10035,New York County,NY,28.57142857142857
10304,Richmond County,NY,20.238095238095237
10310,Richmond County,NY,38.095238095238095
10452,Bronx County,NY,24.404761904761905
10453,Bronx County,NY,5.357142857142857
10456,Bronx County,NY,0
10457,Bronx County,NY,1.7857142857142856
10458,Bronx County,NY,1.1904761904761905
10460,Bronx County,NY,5.952380952380952
10701,Westchester County,NY,17.261904761904763
11206,Kings County,NY,16.071428571428573
11207,Kings County,NY,2.380952380952381
11220,Kings County,NY,7.738095238095238
11222,Kings County,NY,89.88095238095238
27105,Forsyth County,NC,18.452380952380953
27107,Forsyth County,NC,13.095238095238097
27292,Davidson County,NC,27.380952380952383
28601,Catawba County,NC,45.23809523809524
28630,Caldwell County,NC,54.761904761904766
43068,Franklin County,OH,7.142857142857142
43162,Madison County,OH,97.61904761904762
43204,Franklin County,OH,11.30952380952381
43206,Franklin County,OH,38.095238095238095
43211,Franklin County,OH,8.333333333333332
43213,Franklin County,OH,8.928571428571429
43219,Franklin County,OH,19.642857142857142
43222,Franklin County,OH,70.83333333333334
43224,Franklin County,OH,3.571428571428571
43228,Franklin County,OH,0.5952380952380952
43950,Belmont County,OH,80.35714285714286
44004,Ashtabula County,OH,35.714285714285715
44109,Cuyahoga County,OH,6.547619047619048
44130,Cuyahoga County,OH,14.880952380952381
44203,Summit County,OH,31.547619047619047
44288,Portage County,OH,91.07142857142857
44903,Richland County,OH,21.428571428571427
45223,Hamilton County,OH,61.30952380952381
45405,Montgomery County,OH,59.523809523809526
45503,Clark County,OH,26.785714285714285
45601,Ross County,OH,10.119047619047619
45653,Scioto County,OH,89.28571428571429
45662,Scioto County,OH,30.357142857142854
45769,Meigs County,OH,75
74464,Cherokee County,OK,34.523809523809526
74501,Pittsburg County,OK,43.452380952380956
74604,Kay County,OK,91.66666666666666
74851,Pottawatomie County,OK,78.57142857142857
74955,Sequoyah County,OK,60.11904761904761
15084,Allegheny County,PA,92.85714285714286
15132,Allegheny County,PA,55.952380952380956
15204,Allegheny County,PA,82.73809523809523
16652,Huntingdon County,PA,76.19047619047619
29466,Charleston County,SC,84.52380952380952
29621,Anderson County,SC,32.142857142857146
57339,Buffalo County,SD,37.5
57555,Todd County,SD,85.11904761904762
57703,Pennington County,SD,94.64285714285714
37129,Rutherford County,TN,58.333333333333336
38122,Shelby County,TN,52.976190476190474
75052,Dallas County,TX,20.833333333333336
75212,Dallas County,TX,34.523809523809526
75223,Dallas County,TX,67.26190476190477
75762,Smith County,TX,96.42857142857143
75766,Cherokee County,TX,21.428571428571427
76017,Tarrant County,TX,57.738095238095234
76103,Tarrant County,TX,77.38095238095238
76108,Tarrant County,TX,54.761904761904766
76513,Bell County,TX,36.30952380952381
76520,Milam County,TX,56.547619047619044
76574,Williamson County,TX,73.21428571428571
76657,McLennan County,TX,97.02380952380952
77423,Waller County,TX,88.69047619047619
77493,Harris County,TX,72.02380952380952
77541,Brazoria County,TX,71.42857142857143
77550,Galveston County,TX,23.809523809523807
78212,Bexar County,TX,67.26190476190477
78227,Bexar County,TX,17.857142857142858
78228,Bexar County,TX,12.5
78230,Bexar County,TX,76.78571428571429
78415,Nueces County,TX,27.976190476190478
79412,Lubbock County,TX,75.59523809523809
22150,Fairfax County,VA,60.11904761904761
23890,Sussex County,VA,100
24317,Carroll County,VA,94.04761904761905
98273,Skagit County,WA,77.97619047619048
98499,Pierce County,WA,85.11904761904762
98632,Cowlitz County,WA,48.80952380952381
98686,Clark County,WA,94.64285714285714
99336,Benton County,WA,21.428571428571427
54481,Portage County,WI,66.66666666666666
