ZipCode,county,state,Youth,Pediatric,Adult,Retirement
94556,Contra Costa County,CA,NA,NA,84.49781659388647,NA
94577,Alameda County,CA,NA,NA,33.95196506550218,NA
94612,Alameda County,CA,82.5986078886311,NA,NA,NA
94925,Marin County,CA,80.04640371229699,NA,NA,NA
94949,Marin County,CA,83.29466357308584,NA,NA,NA
95357,Stanislaus County,CA,NA,75.51724137931033,NA,NA
95370,Tuolumne County,CA,NA,NA,NA,3.418803418803419
95470,Mendocino County,CA,NA,NA,98.90829694323145,NA
95482,Mendocino County,CA,NA,NA,34.27947598253275,NA
95610,Sacramento County,CA,74.94199535962876,NA,NA,NA
95623,El Dorado County,CA,NA,NA,95.96069868995633,NA
95626,Sacramento County,CA,NA,100,NA,NA
95841,Sacramento County,CA,NA,NA,79.47598253275109,NA
95969,Butte County,CA,NA,NA,NA,57.692307692307686
96003,Shasta County,CA,NA,NA,39.62882096069869,NA
96080,Tehama County,CA,NA,NA,NA,26.06837606837607
96094,Siskiyou County,CA,NA,NA,NA,65.8119658119658
80017,Arapahoe County,CO,NA,NA,35.043668122270745,NA
80124,Douglas County,CO,57.30858468677494,NA,NA,NA
80210,Denver County,CO,NA,NA,51.20087336244541,NA
80222,Denver County,CO,NA,80.6896551724138,NA,NA
80236,Denver County,CO,NA,NA,77.29257641921397,NA
80239,Denver County,CO,NA,NA,23.471615720524017,NA
80247,Arapahoe County,CO,NA,NA,NA,48.29059829059829
80401,Jefferson County,CO,NA,NA,34.1703056768559,NA
80904,El Paso County,CO,NA,77.93103448275862,NA,NA
80909,El Paso County,CO,31.554524361948953,NA,NA,NA
81003,Pueblo County,CO,74.47795823665894,NA,NA,NA
81007,Pueblo County,CO,NA,NA,41.92139737991266,NA
81201,Chaffee County,CO,95.1276102088167,NA,NA,NA
81212,Fremont County,CO,NA,NA,36.790393013100434,NA
06001,Hartford County,CT,31.09048723897912,NA,NA,NA
06010,Hartford County,CT,NA,NA,38.427947598253276,NA
06019,Hartford County,CT,NA,NA,88.1004366812227,NA
06040,Hartford County,CT,19.25754060324826,NA,NA,55.98290598290598
06066,Tolland County,CT,NA,NA,17.685589519650655,NA
06106,Hartford County,CT,NA,NA,22.489082969432314,NA
06110,Hartford County,CT,NA,63.793103448275865,NA,NA
06112,Hartford County,CT,NA,NA,17.139737991266376,NA
06118,Hartford County,CT,NA,NA,53.16593886462883,NA
06234,Windham County,CT,NA,NA,59.06113537117904,NA
06255,Windham County,CT,NA,NA,72.0524017467249,NA
06260,Windham County,CT,NA,NA,29.366812227074234,45.2991452991453
06415,New London County,CT,NA,NA,76.2008733624454,NA
06416,Middlesex County,CT,NA,NA,67.03056768558952,87.17948717948718
06483,New Haven County,CT,NA,NA,NA,87.6068376068376
06484,Fairfield County,CT,NA,NA,63.864628820960704,NA
06511,New Haven County,CT,NA,NA,5.349344978165939,NA
06513,New Haven County,CT,NA,11.379310344827587,NA,NA
06604,Fairfield County,CT,32.94663573085847,NA,NA,NA
06606,Fairfield County,CT,NA,NA,17.79475982532751,NA
06610,Fairfield County,CT,NA,61.724137931034484,NA,NA
06611,Fairfield County,CT,NA,NA,NA,63.24786324786324
06612,Fairfield County,CT,NA,NA,NA,90.5982905982906
06614,Fairfield County,CT,NA,71.37931034482759,86.35371179039302,NA
06705,New Haven County,CT,NA,NA,69.21397379912663,NA
06706,New Haven County,CT,NA,NA,86.79039301310044,NA
06708,New Haven County,CT,28.770301624129928,NA,NA,NA
06759,Litchfield County,CT,NA,NA,97.70742358078603,NA
06779,Litchfield County,CT,NA,NA,96.06986899563319,NA
06787,Litchfield County,CT,NA,NA,73.68995633187772,NA
06790,Litchfield County,CT,80.97447795823666,NA,NA,NA
06810,Fairfield County,CT,NA,NA,15.611353711790393,NA
06850,Fairfield County,CT,NA,NA,67.79475982532752,NA
19701,New Castle County,DE,76.79814385150812,NA,NA,NA
19702,New Castle County,DE,10.208816705336426,NA,15.502183406113538,NA
19709,New Castle County,DE,NA,NA,49.56331877729257,NA
19711,New Castle County,DE,19.02552204176334,NA,29.03930131004367,11.538461538461538
19713,New Castle County,DE,16.937354988399072,NA,59.06113537117904,NA
