ZipCode,county,state,Youth,Pediatric
35121,Blount County,AL,NA,56.060606060606055
35653,Franklin County,AL,72.04301075268818,NA
35670,Morgan County,AL,73.11827956989248,NA
35758,Madison County,AL,38.35125448028674,NA
35978,DeKalb County,AL,94.6236559139785,NA
36037,Butler County,AL,NA,66.66666666666666
36049,Crenshaw County,AL,NA,96.46464646464646
36526,Baldwin County,AL,36.91756272401434,NA
36582,Mobile County,AL,NA,64.64646464646465
36804,Lee County,AL,NA,74.24242424242425
36869,Russell County,AL,NA,62.62626262626263
99645,Matanuska-Susitna Borough,AK,15.053763440860216,NA
85008,Maricopa County,AZ,NA,6.0606060606060606
85009,Maricopa County,AZ,NA,4.040404040404041
85023,Maricopa County,AZ,25.089605734767023,NA
85043,Maricopa County,AZ,NA,16.666666666666664
85205,Maricopa County,AZ,31.899641577060933,NA
85207,Maricopa County,AZ,59.13978494623656,NA
85635,Cochise County,AZ,NA,25.757575757575758
85710,Pima County,AZ,37.634408602150536,NA
85745,Pima County,AZ,74.19354838709677,NA
85746,Pima County,AZ,20.07168458781362,NA
90037,Los Angeles County,CA,NA,15.151515151515152
90706,Los Angeles County,CA,NA,22.22222222222222
90805,Los Angeles County,CA,16.129032258064516,NA
90813,Los Angeles County,CA,39.42652329749104,NA
91381,Los Angeles County,CA,72.40143369175627,NA
91942,San Diego County,CA,85.30465949820788,NA
92021,San Diego County,CA,NA,30.808080808080806
92069,San Diego County,CA,NA,30.303030303030305
92114,San Diego County,CA,NA,28.28282828282828
92127,San Diego County,CA,43.36917562724014,NA
92227,Imperial County,CA,41.57706093189964,NA
92376,San Bernardino County,CA,NA,7.575757575757576
92404,San Bernardino County,CA,NA,15.656565656565657
92507,Riverside County,CA,NA,76.76767676767676
92620,Orange County,CA,51.971326164874554,NA
92673,Orange County,CA,45.878136200716845,NA
92703,Orange County,CA,NA,19.19191919191919
92780,Orange County,CA,NA,26.767676767676768
93041,Ventura County,CA,NA,41.91919191919192
93065,Ventura County,CA,5.376344086021505,NA
93215,Kern County,CA,NA,26.262626262626267
93272,Tulare County,CA,NA,78.28282828282829
93304,Kern County,CA,15.770609318996415,NA
93314,Kern County,CA,83.15412186379928,NA
93551,Los Angeles County,CA,NA,53.535353535353536
93611,Fresno County,CA,NA,77.27272727272727
93703,Fresno County,CA,75.62724014336918,NA
93727,Fresno County,CA,NA,8.080808080808081
94544,Alameda County,CA,63.08243727598566,NA
94560,Alameda County,CA,NA,94.94949494949495
94596,Contra Costa County,CA,80.28673835125448,NA
94606,Alameda County,CA,NA,50
94705,Alameda County,CA,98.2078853046595,NA
95206,San Joaquin County,CA,33.33333333333333,NA
95252,Calaveras County,CA,NA,91.41414141414141
95355,Stanislaus County,CA,65.23297491039428,NA
95405,Sonoma County,CA,NA,99.4949494949495
95670,Sacramento County,CA,NA,94.44444444444444
95828,Sacramento County,CA,NA,51.010101010101
95834,Sacramento County,CA,NA,70.70707070707071
95945,Nevada County,CA,57.34767025089605,NA
96021,Tehama County,CA,NA,66.16161616161617
80002,Jefferson County,CO,83.15412186379928,NA
80005,Jefferson County,CO,37.27598566308244,NA
80014,Arapahoe County,CO,NA,47.474747474747474
80016,Arapahoe County,CO,4.659498207885305,NA
80022,Adams County,CO,NA,12.626262626262626
80027,Boulder County,CO,NA,68.68686868686868
80134,Douglas County,CO,61.29032258064516,NA
80219,Denver County,CO,NA,2.525252525252525
80233,Adams County,CO,14.695340501792115,NA
80260,Adams County,CO,NA,17.17171717171717
80603,Weld County,CO,55.55555555555556,NA
80634,Weld County,CO,25.806451612903224,NA
80701,Morgan County,CO,19.71326164874552,NA
80817,El Paso County,CO,59.49820788530465,NA
80916,El Paso County,CO,NA,13.131313131313133
81005,Pueblo County,CO,51.25448028673835,NA
81504,Mesa County,CO,NA,52.52525252525253
06013,Hartford County,CT,96.415770609319,NA
06410,New Haven County,CT,56.98924731182796,NA
