ZipCode,county,state,Pediatric,Adult
35010,Tallapoosa County,AL,NA,42.391304347826086
35211,Jefferson County,AL,NA,21.73913043478261
35244,Jefferson County,AL,NA,81.52173913043478
35475,Tuscaloosa County,AL,NA,55.434782608695656
35980,Marshall County,AL,NA,96.52173913043478
36022,Elmore County,AL,NA,75.21739130434783
36507,Baldwin County,AL,43.42857142857143,NA
36613,Mobile County,AL,NA,85.65217391304348
99518,Anchorage Municipality,AK,NA,80.21739130434783
99611,Kenai Peninsula Borough,AK,59.42857142857143,NA
85016,Maricopa County,AZ,16,NA
85019,Maricopa County,AZ,NA,74.1304347826087
85022,Maricopa County,AZ,NA,26.08695652173913
85142,Maricopa County,AZ,66.28571428571428,NA
85201,Maricopa County,AZ,NA,19.782608695652172
85207,Maricopa County,AZ,NA,34.130434782608695
85259,Maricopa County,AZ,NA,85.21739130434783
85337,Maricopa County,AZ,93.14285714285714,NA
85344,La Paz County,AZ,NA,73.69565217391305
85345,Maricopa County,AZ,NA,18.695652173913043
85621,Santa Cruz County,AZ,57.714285714285715,NA
86004,Coconino County,AZ,NA,10.217391304347826
86047,Navajo County,AZ,NA,41.08695652173913
86503,Apache County,AZ,5.714285714285714,NA
72034,Faulkner County,AR,NA,56.086956521739125
72401,Craighead County,AR,NA,20.652173913043477
72450,Greene County,AR,NA,25.65217391304348
90028,Los Angeles County,CA,NA,68.91304347826087
90061,Los Angeles County,CA,NA,91.08695652173913
90063,Los Angeles County,CA,33.714285714285715,NA
90241,Los Angeles County,CA,NA,58.69565217391305
90262,Los Angeles County,CA,NA,40.65217391304348
90266,Los Angeles County,CA,NA,65.8695652173913
90604,Los Angeles County,CA,90.85714285714286,NA
90621,Orange County,CA,54.85714285714286,NA
90802,Los Angeles County,CA,NA,55.65217391304348
90810,Los Angeles County,CA,NA,64.13043478260869
91331,Los Angeles County,CA,NA,17.608695652173914
91342,Los Angeles County,CA,NA,26.304347826086953
91401,Los Angeles County,CA,NA,70.21739130434783
91706,Los Angeles County,CA,NA,33.04347826086956
91731,Los Angeles County,CA,NA,72.82608695652173
91770,Los Angeles County,CA,NA,55.00000000000001
91780,Los Angeles County,CA,NA,87.82608695652175
92019,San Diego County,CA,NA,50.21739130434783
92083,San Diego County,CA,25.142857142857146,NA
92130,San Diego County,CA,NA,87.60869565217392
92234,Riverside County,CA,38.285714285714285,NA
92386,San Bernardino County,CA,NA,100
92595,Riverside County,CA,NA,46.30434782608695
92627,Orange County,CA,NA,84.1304347826087
92692,Orange County,CA,NA,85.86956521739131
92705,Orange County,CA,NA,76.08695652173914
92832,Orange County,CA,NA,61.52173913043478
92841,Orange County,CA,67.42857142857143,NA
93003,Ventura County,CA,38.285714285714285,21.521739130434785
93010,Ventura County,CA,NA,40.21739130434783
93257,Tulare County,CA,13.714285714285715,NA
93312,Kern County,CA,NA,44.78260869565218
93458,Santa Barbara County,CA,4.571428571428571,NA
93618,Tulare County,CA,NA,58.913043478260875
93646,Fresno County,CA,70.28571428571428,NA
93703,Fresno County,CA,19.428571428571427,NA
94015,San Mateo County,CA,70.85714285714285,NA
94040,Santa Clara County,CA,NA,80.65217391304348
94588,Alameda County,CA,NA,77.17391304347827
95120,Santa Clara County,CA,NA,89.13043478260869
95355,Stanislaus County,CA,NA,13.260869565217392
95356,Stanislaus County,CA,NA,46.52173913043478
95630,Sacramento County,CA,NA,34.56521739130435
95945,Nevada County,CA,NA,63.04347826086957
80013,Arapahoe County,CO,NA,15
80112,Arapahoe County,CO,NA,58.47826086956521
80214,Jefferson County,CO,NA,47.608695652173914
80221,Adams County,CO,17.142857142857142,NA
80226,Jefferson County,CO,NA,52.60869565217391
80232,Jefferson County,CO,61.71428571428571,81.73913043478261
80247,Arapahoe County,CO,NA,45.21739130434783
80260,Adams County,CO,NA,50.43478260869565
80501,Boulder County,CO,NA,26.521739130434785
80917,El Paso County,CO,53.142857142857146,NA
81007,Pueblo County,CO,73.14285714285714,NA
81520,Mesa County,CO,NA,75.21739130434783
06401,New Haven County,CT,47.42857142857143,NA
06477,New Haven County,CT,97.71428571428571,NA
06480,Middlesex County,CT,NA,74.78260869565217
06483,New Haven County,CT,95.42857142857143,NA
06511,New Haven County,CT,6.2857142857142865,NA
06513,New Haven County,CT,NA,7.391304347826087
06606,Fairfield County,CT,39.42857142857143,NA
06708,New Haven County,CT,NA,28.913043478260867
06770,New Haven County,CT,NA,30.869565217391305
06810,Fairfield County,CT,NA,21.956521739130437
19966,Sussex County,DE,NA,30.65217391304348
32063,Baker County,FL,82.28571428571428,NA
32084,St. Johns County,FL,NA,37.173913043478265
32208,Duval County,FL,NA,2.391304347826087
32210,Duval County,FL,NA,7.173913043478261
32347,Taylor County,FL,NA,96.08695652173913
