ZipCode,county,state,Pediatric,Adult
35244,Jefferson County,AL,87.20930232558139,NA
35750,Madison County,AL,89.53488372093024,NA
35951,Marshall County,AL,61.04651162790697,NA
35976,Marshall County,AL,68.02325581395348,NA
36617,Mobile County,AL,81.97674418604652,NA
85008,Maricopa County,AZ,29.069767441860467,NA
85020,Maricopa County,AZ,NA,49.00990099009901
85041,Maricopa County,AZ,11.627906976744185,NA
85122,Pinal County,AZ,15.11627906976744,NA
85203,Maricopa County,AZ,NA,90.0990099009901
85257,Maricopa County,AZ,NA,77.22772277227723
85550,Graham County,AZ,NA,82.17821782178217
85741,Pima County,AZ,NA,42.07920792079208
85743,Pima County,AZ,NA,53.46534653465347
85749,Pima County,AZ,NA,84.65346534653465
86045,Coconino County,AZ,8.720930232558139,NA
90007,Los Angeles County,CA,61.04651162790697,NA
90027,Los Angeles County,CA,NA,69.3069306930693
90220,Los Angeles County,CA,NA,42.57425742574257
90604,Los Angeles County,CA,76.16279069767442,NA
90640,Los Angeles County,CA,NA,46.53465346534654
91605,Los Angeles County,CA,NA,58.91089108910891
91741,Los Angeles County,CA,98.83720930232558,NA
92028,San Diego County,CA,NA,73.76237623762376
92054,San Diego County,CA,NA,54.95049504950495
92243,Imperial County,CA,75,NA
92253,Riverside County,CA,NA,82.67326732673267
92264,Riverside County,CA,NA,58.415841584158414
92544,Riverside County,CA,49.41860465116279,NA
92553,Riverside County,CA,NA,35.148514851485146
92587,Riverside County,CA,NA,80.19801980198021
92606,Orange County,CA,NA,96.03960396039604
93001,Ventura County,CA,NA,83.16831683168317
93203,Kern County,CA,79.65116279069767,NA
93257,Tulare County,CA,NA,20.792079207920793
93455,Santa Barbara County,CA,47.674418604651166,40.099009900990104
93552,Los Angeles County,CA,NA,67.82178217821783
93657,Fresno County,CA,73.83720930232558,NA
94401,San Mateo County,CA,NA,84.15841584158416
94603,Alameda County,CA,42.44186046511628,NA
94606,Alameda County,CA,NA,65.34653465346535
94928,Sonoma County,CA,NA,71.28712871287128
95240,San Joaquin County,CA,21.511627906976745,NA
95401,Sonoma County,CA,NA,87.12871287128714
