ZipCode,county,state,Pediatric
35179,Cullman County,AL,85.71428571428571
35215,Jefferson County,AL,15.476190476190476
90405,Los Angeles County,CA,60.11904761904761
80016,Arapahoe County,CO,41.07142857142857
80219,Denver County,CO,10.119047619047619
80807,Kit Carson County,CO,85.11904761904762
06016,Hartford County,CT,54.761904761904766
06062,Hartford County,CT,87.5
06076,Tolland County,CT,85.71428571428571
06106,Hartford County,CT,20.833333333333336
06120,Hartford County,CT,64.88095238095238
06239,Windham County,CT,75
06511,New Haven County,CT,1.7857142857142856
06516,New Haven County,CT,7.738095238095238
06519,New Haven County,CT,9.523809523809524
32052,Hamilton County,FL,75.59523809523809
32303,Leon County,FL,52.976190476190474
32726,Lake County,FL,67.85714285714286
32817,Orange County,FL,66.07142857142857
33309,Broward County,FL,11.904761904761903
33578,Hillsborough County,FL,25.595238095238095
33765,Pinellas County,FL,89.28571428571429
33983,Charlotte County,FL,94.64285714285714
34668,Pasco County,FL,19.047619047619047
30134,Douglas County,GA,27.976190476190478
30187,Douglas County,GA,84.52380952380952
31516,Pierce County,GA,80.35714285714286
31792,Thomas County,GA,72.02380952380952
96740,Hawaii County,HI,44.642857142857146
96748,Maui County,HI,41.07142857142857
83647,Elmore County,ID,36.904761904761905
83713,Ada County,ID,38.095238095238095
60153,Cook County,IL,88.09523809523809
46226,Marion County,IN,17.261904761904763
46229,Marion County,IN,94.04761904761905
46516,Elkhart County,IN,64.28571428571429
46755,Noble County,IN,22.61904761904762
47404,Monroe County,IN,74.40476190476191
47834,Clay County,IN,71.42857142857143
50316,Polk County,IA,47.023809523809526
50428,Cerro Gordo County,IA,57.738095238095234
50533,Wright County,IA,85.71428571428571
66111,Wyandotte County,KS,98.21428571428571
66604,Shawnee County,KS,93.45238095238095
67212,Sedgwick County,KS,79.16666666666666
67357,Labette County,KS,94.64285714285714
40203,Jefferson County,KY,21.428571428571427
40215,Jefferson County,KY,20.238095238095237
40511,Fayette County,KY,18.452380952380953
40701,Whitley County,KY,16.666666666666664
42701,Hardin County,KY,14.880952380952381
04101,Cumberland County,ME,32.142857142857146
01069,Hampden County,MA,60.71428571428571
01247,Berkshire County,MA,29.761904761904763
01520,Worcester County,MA,90.47619047619048
01523,Worcester County,MA,83.33333333333334
01566,Worcester County,MA,96.42857142857143
01742,Middlesex County,MA,89.88095238095238
01844,Essex County,MA,0
01938,Essex County,MA,76.78571428571429
01960,Essex County,MA,4.761904761904762
02143,Middlesex County,MA,10.714285714285714
02458,Middlesex County,MA,58.92857142857143
02476,Middlesex County,MA,97.02380952380952
02492,Norfolk County,MA,88.09523809523809
02720,Bristol County,MA,37.5
02747,Bristol County,MA,22.61904761904762
48047,Macomb County,MI,52.38095238095239
48162,Monroe County,MI,35.714285714285715
49444,Muskegon County,MI,13.690476190476192
55033,Dakota County,MN,91.66666666666666
55041,Wabasha County,MN,67.26190476190477
55044,Dakota County,MN,35.11904761904761
55110,Ramsey County,MN,98.21428571428571
55117,Ramsey County,MN,3.571428571428571
55410,Hennepin County,MN,82.73809523809523
55413,Hennepin County,MN,99.40476190476191
55428,Hennepin County,MN,41.07142857142857
55806,St. Louis County,MN,56.547619047619044
55912,Mower County,MN,13.095238095238097
56003,Nicollet County,MN,79.16666666666666
56073,Brown County,MN,72.61904761904762
56303,Stearns County,MN,97.61904761904762
56425,Crow Wing County,MN,66.66666666666666
56501,Becker County,MN,70.23809523809523
56560,Clay County,MN,26.785714285714285
39564,Jackson County,MS,28.57142857142857
63376,St. Charles County,MO,16.071428571428573
64055,Jackson County,MO,39.88095238095239
64058,Jackson County,MO,61.904761904761905
64076,Lafayette County,MO,45.83333333333333
64079,Platte County,MO,57.14285714285714
65251,Callaway County,MO,12.5
65559,Phelps County,MO,69.64285714285714
65721,Christian County,MO,36.30952380952381
65803,Greene County,MO,5.357142857142857
68104,Douglas County,NE,31.547619047619047
89122,Clark County,NV,49.404761904761905
89156,Clark County,NV,48.214285714285715
07304,Hudson County,NJ,54.166666666666664
08015,Burlington County,NJ,69.04761904761905
08050,Ocean County,NJ,19.642857142857142
08330,Atlantic County,NJ,68.45238095238095
08690,Mercer County,NJ,100
08701,Ocean County,NJ,30.357142857142854
87001,Sandoval County,NM,34.523809523809526
87123,Bernalillo County,NM,8.928571428571429
10455,Bronx County,NY,48.80952380952381
11212,Kings County,NY,73.80952380952381
11214,Kings County,NY,42.857142857142854
11746,Suffolk County,NY,22.023809523809522
12157,Schoharie County,NY,57.738095238095234
12306,Schenectady County,NY,81.54761904761905
12754,Sullivan County,NY,63.69047619047619
12828,Washington County,NY,59.523809523809526
13790,Broome County,NY,11.30952380952381
14094,Niagara County,NY,17.857142857142858
14830,Steuben County,NY,75.59523809523809
27030,Surry County,NC,8.333333333333332
28278,Mecklenburg County,NC,51.19047619047619
28405,New Hanover County,NC,45.23809523809524
28734,Macon County,NC,30.952380952380953
43614,Lucas County,OH,38.69047619047619
43950,Belmont County,OH,73.21428571428571
44312,Summit County,OH,5.952380952380952
44632,Stark County,OH,80.95238095238095
45042,Butler County,OH,23.809523809523807
45103,Clermont County,OH,4.166666666666666
45212,Hamilton County,OH,23.809523809523807
45220,Hamilton County,OH,77.97619047619048
45229,Hamilton County,OH,14.285714285714285
45232,Hamilton County,OH,83.92857142857143
45251,Hamilton County,OH,44.047619047619044
45503,Clark County,OH,29.166666666666668
45601,Ross County,OH,0.5952380952380952
73010,McClain County,OK,55.952380952380956
73044,Logan County,OK,40.476190476190474
73162,Oklahoma County,OK,91.07142857142857
73170,Cleveland County,OK,53.57142857142857
97045,Clackamas County,OR,47.61904761904761
97702,Deschutes County,OR,70.83333333333334
16148,Mercer County,PA,45.83333333333333
16601,Blair County,PA,25
16830,Clearfield County,PA,49.404761904761905
17331,York County,PA,55.35714285714286
18707,Luzerne County,PA,92.85714285714286
19135,Philadelphia County,PA,65.47619047619048
19143,Philadelphia County,PA,2.380952380952381
29223,Richland County,SC,78.57142857142857
29341,Cherokee County,SC,95.83333333333334
37334,Lincoln County,TN,33.33333333333333
38060,Fayette County,TN,82.14285714285714
38118,Shelby County,TN,2.976190476190476
76574,Williamson County,TX,43.452380952380956
77539,Galveston County,TX,7.142857142857142
78380,Nueces County,TX,27.380952380952383
22980,Waynesboro city,VA,26.190476190476193
23504,Norfolk city,VA,6.547619047619048
24151,Franklin County,VA,33.33333333333333
99027,Spokane County,WA,92.26190476190477
99206,Spokane County,WA,51.19047619047619
20018,District of Columbia,DC,62.5
53115,Walworth County,WI,61.30952380952381
53208,Milwaukee County,WI,32.73809523809524
53215,Milwaukee County,WI,1.1904761904761905
53227,Milwaukee County,WI,62.5
54451,Taylor County,WI,76.78571428571429
54501,Oneida County,WI,50.595238095238095
54650,La Crosse County,WI,39.285714285714285
