ZipCode,county,state,Youth,Pediatric
35080,Shelby County,AL,47.29891956782713,NA
35215,Jefferson County,AL,NA,5.181347150259067
35226,Jefferson County,AL,64.70588235294117,NA
35242,Shelby County,AL,75.51020408163265,NA
35405,Tuscaloosa County,AL,17.286914765906364,NA
35555,Fayette County,AL,73.46938775510205,NA
35613,Limestone County,AL,40.33613445378151,NA
35620,Limestone County,AL,NA,73.05699481865285
35749,Madison County,AL,58.463385354141664,NA
35803,Madison County,AL,69.74789915966386,NA
35901,Etowah County,AL,73.94957983193278,NA
35954,Etowah County,AL,65.906362545018,NA
35959,Cherokee County,AL,NA,96.89119170984456
35967,DeKalb County,AL,57.62304921968787,NA
35986,DeKalb County,AL,78.39135654261705,NA
36054,Elmore County,AL,56.78271308523409,NA
36108,Montgomery County,AL,57.98319327731093,NA
36109,Montgomery County,AL,74.66986794717887,NA
36117,Montgomery County,AL,35.414165666266506,NA
36303,Houston County,AL,33.493397358943575,NA
36330,Coffee County,AL,50.90036014405762,NA
36451,Clarke County,AL,83.19327731092437,NA
36567,Baldwin County,AL,89.67587034813926,NA
36703,Dallas County,AL,NA,79.27461139896373
36879,Lee County,AL,97.8391356542617,NA
99503,Anchorage Municipality,AK,69.74789915966386,NA
99508,Anchorage Municipality,AK,21.368547418967587,NA
85015,Maricopa County,AZ,23.52941176470588,NA
85018,Maricopa County,AZ,62.064825930372145,NA
85021,Maricopa County,AZ,33.61344537815126,NA
85022,Maricopa County,AZ,36.734693877551024,NA
85023,Maricopa County,AZ,64.10564225690277,NA
85029,Maricopa County,AZ,43.57743097238895,NA
85040,Maricopa County,AZ,29.411764705882355,NA
85051,Maricopa County,AZ,25.690276110444177,NA
85123,Pinal County,AZ,90.39615846338536,NA
85140,Pinal County,AZ,52.82112845138055,NA
85286,Maricopa County,AZ,62.064825930372145,NA
85303,Maricopa County,AZ,NA,32.64248704663213
85705,Pima County,AZ,10.56422569027611,NA
85716,Pima County,AZ,NA,63.212435233160626
85741,Pima County,AZ,13.325330132052821,NA
85745,Pima County,AZ,NA,35.751295336787564
85746,Pima County,AZ,NA,18.134715025906736
86511,Apache County,AZ,95.43817527010803,NA
72207,Pulaski County,AR,89.19567827130852,NA
72223,Pulaski County,AR,58.103241296518604,NA
72450,Greene County,AR,29.531812725090035,NA
90043,Los Angeles County,CA,43.21728691476591,NA
90278,Los Angeles County,CA,84.27370948379351,NA
90805,Los Angeles County,CA,23.04921968787515,NA
91331,Los Angeles County,CA,37.935174069627855,NA
91405,Los Angeles County,CA,80.91236494597838,NA
91604,Los Angeles County,CA,NA,96.37305699481865
91764,San Bernardino County,CA,51.86074429771909,NA
91911,San Diego County,CA,33.73349339735894,NA
91977,San Diego County,CA,36.37454981992797,NA
92011,San Diego County,CA,76.23049219687876,NA
92021,San Diego County,CA,61.944777911164465,NA
92040,San Diego County,CA,52.22088835534213,NA
92058,San Diego County,CA,74.06962785114045,NA
92084,San Diego County,CA,NA,34.196891191709845
92102,San Diego County,CA,NA,39.37823834196891
92105,San Diego County,CA,24.009603841536613,NA
92107,San Diego County,CA,81.87274909963985,NA
92117,San Diego County,CA,NA,55.44041450777202
92131,San Diego County,CA,44.89795918367347,NA
92240,Riverside County,CA,50.3001200480192,NA
92284,San Bernardino County,CA,78.63145258103242,NA
92316,San Bernardino County,CA,76.35054021608644,NA
92394,San Bernardino County,CA,75.27010804321729,NA
92532,Riverside County,CA,71.30852340936374,NA
92570,Riverside County,CA,57.262905162064826,NA
92571,Riverside County,CA,NA,51.813471502590666
92627,Orange County,CA,NA,61.6580310880829
92692,Orange County,CA,87.75510204081633,NA
92802,Orange County,CA,65.1860744297719,NA
92840,Orange County,CA,75.03001200480192,NA
92843,Orange County,CA,56.90276110444178,NA
92886,Orange County,CA,NA,77.720207253886
93060,Ventura County,CA,69.98799519807923,NA
93219,Tulare County,CA,88.47539015606243,NA
93221,Tulare County,CA,67.46698679471788,NA
93274,Tulare County,CA,4.68187274909964,NA
93291,Tulare County,CA,12.244897959183673,NA
93304,Kern County,CA,54.26170468187274,NA
93307,Kern County,CA,29.051620648259302,NA
93619,Fresno County,CA,28.331332533013203,NA
93635,Merced County,CA,53.9015606242497,NA
94040,Santa Clara County,CA,NA,88.60103626943005
94110,San Francisco County,CA,45.61824729891957,NA
94122,San Francisco County,CA,72.74909963985594,NA
94523,Contra Costa County,CA,51.140456182472995,NA
94601,Alameda County,CA,NA,17.098445595854923
95358,Stanislaus County,CA,77.31092436974791,NA
95407,Sonoma County,CA,NA,70.98445595854922
95648,Placer County,CA,69.14765906362545,NA
95677,Placer County,CA,68.0672268907563,NA
80016,Arapahoe County,CO,5.402160864345738,NA
80102,Adams County,CO,90.51620648259305,NA
80125,Douglas County,CO,89.79591836734694,NA
