ZipCode,county,state,Adult,Geriatric
33168,Miami-Dade County,FL,74.35897435897436,NA
33185,Miami-Dade County,FL,84.1880341880342,NA
33314,Broward County,FL,72.64957264957265,NA
33325,Broward County,FL,78.2051282051282,NA
33431,Palm Beach County,FL,NA,62.63157894736842
33458,Palm Beach County,FL,25.213675213675213,NA
33803,Polk County,FL,61.111111111111114,NA
33908,Lee County,FL,59.82905982905983,NA
34203,Manatee County,FL,54.700854700854705,NA
34285,Sarasota County,FL,91.45299145299145,NA
34287,Sarasota County,FL,51.70940170940172,NA
34957,Martin County,FL,NA,21.578947368421055
34983,St. Lucie County,FL,NA,33.68421052631579
30014,Newton County,GA,26.923076923076923,NA
30024,Gwinnett County,GA,23.076923076923077,NA
30127,Cobb County,GA,NA,64.73684210526316
30165,Floyd County,GA,NA,43.15789473684211
30328,Fulton County,GA,NA,36.31578947368421
31092,Dooly County,GA,NA,93.15789473684211
31096,Johnson County,GA,NA,88.42105263157895
31322,Chatham County,GA,85.8974358974359,NA
31326,Effingham County,GA,64.1025641025641,NA
31406,Chatham County,GA,NA,34.73684210526316
31545,Wayne County,GA,77.35042735042735,NA
31833,Troup County,GA,80.76923076923077,NA
96701,Honolulu County,HI,NA,15.789473684210526
96707,Honolulu County,HI,35.04273504273504,NA
96817,Honolulu County,HI,NA,31.57894736842105
83404,Bonneville County,ID,54.27350427350427,NA
83445,Fremont County,ID,94.44444444444444,NA
83702,Ada County,ID,30.76923076923077,46.31578947368421
83854,Kootenai County,ID,NA,23.157894736842106
60025,Cook County,IL,NA,6.842105263157896
60056,Cook County,IL,NA,9.473684210526317
60083,Lake County,IL,91.02564102564102,NA
60187,DuPage County,IL,NA,42.63157894736842
60416,Grundy County,IL,NA,77.89473684210526
60532,DuPage County,IL,NA,52.10526315789473
60620,Cook County,IL,8.11965811965812,NA
60631,Cook County,IL,32.05128205128205,NA
60638,Cook County,IL,10.683760683760683,NA
62025,Madison County,IL,70.94017094017094,NA
62703,Sangamon County,IL,NA,52.63157894736842
46140,Hancock County,IN,29.059829059829063,NA
46151,Morgan County,IN,26.06837606837607,NA
46168,Hendricks County,IN,38.88888888888889,NA
46901,Howard County,IN,NA,8.947368421052632
46923,Carroll County,IN,86.75213675213675,NA
47150,Floyd County,IN,11.538461538461538,NA
47567,Pike County,IN,NA,90
