ZipCode,county,state,Retirement
78572,Hidalgo County,TX,21.34831460674157
78596,Hidalgo County,TX,59.55056179775281
79935,El Paso County,TX,83.70786516853933
84095,Salt Lake County,UT,70.78651685393258
84532,Grand County,UT,91.57303370786516
84790,Washington County,UT,17.97752808988764
22066,Fairfax County,VA,88.20224719101124
22936,Albemarle County,VA,94.3820224719101
23112,Chesterfield County,VA,30.337078651685395
98126,King County,WA,67.41573033707866
98685,Clark County,WA,78.08988764044943
20008,District of Columbia,DC,96.06741573033707
53045,Waukesha County,WI,52.24719101123596
53083,Sheboygan County,WI,64.04494382022472
53094,Jefferson County,WI,34.26966292134831
53144,Kenosha County,WI,33.146067415730336
54002,St. Croix County,WI,98.31460674157303
54115,Brown County,WI,35.95505617977528
54166,Shawano County,WI,54.49438202247191
54482,Portage County,WI,91.01123595505618
54843,Sawyer County,WI,85.39325842696628
