ZipCode,county,state,Youth,Adult,Geriatric
35023,Jefferson County,AL,35.573122529644266,NA,NA
35801,Madison County,AL,NA,NA,46.63212435233161
35950,Marshall County,AL,73.51778656126481,NA,NA
36104,Montgomery County,AL,NA,64.78260869565217,NA
36693,Mobile County,AL,NA,64.34782608695652,NA
36870,Lee County,AL,86.56126482213439,NA,NA
85012,Maricopa County,AZ,NA,88.69565217391305,NA
85023,Maricopa County,AZ,NA,NA,70.98445595854922
85029,Maricopa County,AZ,NA,30.434782608695656,NA
85051,Maricopa County,AZ,NA,21.73913043478261,NA
85203,Maricopa County,AZ,NA,46.08695652173913,NA
85205,Maricopa County,AZ,NA,NA,24.352331606217618
85249,Maricopa County,AZ,30.8300395256917,NA,NA
85283,Maricopa County,AZ,NA,25.217391304347824,NA
85345,Maricopa County,AZ,NA,20,NA
85375,Maricopa County,AZ,NA,NA,2.072538860103627
85396,Maricopa County,AZ,74.70355731225297,NA,NA
85530,Graham County,AZ,NA,88.26086956521739,NA
85704,Pima County,AZ,78.65612648221344,NA,NA
85730,Pima County,AZ,40.71146245059288,33.91304347826087,NA
85755,Pima County,AZ,NA,NA,37.30569948186528
85901,Navajo County,AZ,NA,61.30434782608696,NA
86004,Coconino County,AZ,NA,10,NA
86505,Apache County,AZ,NA,NA,62.17616580310881
72205,Pulaski County,AR,64.42687747035573,83.47826086956522,NA
72701,Washington County,AR,NA,NA,82.38341968911918
72714,Benton County,AR,NA,NA,67.35751295336787
90003,Los Angeles County,CA,43.08300395256917,NA,NA
90029,Los Angeles County,CA,NA,NA,39.89637305699482
90044,Los Angeles County,CA,NA,11.304347826086957,NA
90068,Los Angeles County,CA,95.25691699604744,NA,NA
90262,Los Angeles County,CA,26.48221343873518,NA,NA
90280,Los Angeles County,CA,NA,NA,45.07772020725388
90640,Los Angeles County,CA,NA,NA,34.715025906735754
90710,Los Angeles County,CA,NA,NA,80.31088082901555
90717,Los Angeles County,CA,NA,NA,60.62176165803109
90745,Los Angeles County,CA,NA,NA,22.279792746113987
90802,Los Angeles County,CA,NA,NA,94.30051813471503
91202,Los Angeles County,CA,NA,90.43478260869566,NA
91207,Los Angeles County,CA,NA,NA,78.75647668393782
91303,Los Angeles County,CA,88.14229249011858,NA,NA
91306,Los Angeles County,CA,56.126482213438734,NA,NA
91307,Los Angeles County,CA,92.88537549407114,NA,NA
91352,Los Angeles County,CA,NA,33.04347826086956,NA
91360,Ventura County,CA,NA,NA,20.72538860103627
91403,Los Angeles County,CA,NA,84.34782608695653,NA
91605,Los Angeles County,CA,81.81818181818183,NA,NA
91764,San Bernardino County,CA,51.77865612648221,NA,NA
92037,San Diego County,CA,79.84189723320159,NA,NA
92057,San Diego County,CA,NA,86.08695652173914,NA
92109,San Diego County,CA,NA,91.73913043478261,NA
92111,San Diego County,CA,77.86561264822134,NA,NA
92203,Riverside County,CA,67.19367588932806,53.47826086956522,NA
92335,San Bernardino County,CA,NA,14.782608695652174,NA
92344,San Bernardino County,CA,77.4703557312253,NA,NA
92532,Riverside County,CA,NA,77.82608695652173,NA
92562,Riverside County,CA,33.201581027667984,NA,NA
92591,Riverside County,CA,NA,58.69565217391305,NA
92604,Orange County,CA,NA,85.21739130434783,63.730569948186535
92692,Orange County,CA,74.30830039525692,NA,NA
92707,Orange County,CA,47.82608695652174,NA,NA
92843,Orange County,CA,NA,NA,71.50259067357513
93422,San Luis Obispo County,CA,NA,NA,75.12953367875647
93454,Santa Barbara County,CA,NA,37.826086956521735,NA
93551,Los Angeles County,CA,NA,NA,73.05699481865285
93614,Madera County,CA,94.0711462450593,NA,NA
93704,Fresno County,CA,NA,NA,76.68393782383419
94002,San Mateo County,CA,NA,NA,83.41968911917098
94501,Alameda County,CA,51.38339920948617,NA,NA
94509,Contra Costa County,CA,71.14624505928853,NA,NA
94559,Napa County,CA,NA,NA,50.77720207253886
94563,Contra Costa County,CA,80.23715415019763,NA,NA
94568,Alameda County,CA,NA,NA,55.95854922279793
94591,Solano County,CA,NA,NA,21.761658031088082
94608,Alameda County,CA,70.7509881422925,NA,NA
94960,Marin County,CA,NA,NA,93.26424870466322
95060,Santa Cruz County,CA,NA,79.56521739130434,NA
95066,Santa Cruz County,CA,93.67588932806325,NA,NA
95076,Santa Cruz County,CA,58.10276679841897,NA,NA
95112,Santa Clara County,CA,NA,46.95652173913044,NA
95136,Santa Clara County,CA,NA,66.52173913043478,NA
95630,Sacramento County,CA,NA,35.21739130434783,NA
95821,Sacramento County,CA,15.810276679841898,NA,NA
95828,Sacramento County,CA,NA,NA,37.82383419689119
95959,Nevada County,CA,NA,NA,65.28497409326425
95966,Butte County,CA,NA,16.08695652173913,30.05181347150259
80027,Boulder County,CO,43.47826086956522,NA,NA
80134,Douglas County,CO,10.67193675889328,NA,NA
80207,Denver County,CO,NA,53.47826086956522,NA
