ZipCode,county,state,Youth,Adult,Retirement
35007,Shelby County,AL,NA,NA,41.007194244604314
35072,Coosa County,AL,NA,88.96321070234113,NA
35094,Jefferson County,AL,NA,NA,69.7841726618705
35096,Talladega County,AL,74.87179487179488,NA,NA
35124,Shelby County,AL,NA,71.23745819397993,NA
35150,Talladega County,AL,56.41025641025641,NA,NA
35160,Talladega County,AL,NA,17.725752508361204,NA
35761,Madison County,AL,NA,79.59866220735786,NA
85033,Maricopa County,AZ,NA,17.391304347826086,NA
85123,Pinal County,AZ,30.256410256410255,NA,NA
85202,Maricopa County,AZ,NA,23.411371237458194,NA
85248,Maricopa County,AZ,77.435897435897445,NA,NA
85249,Maricopa County,AZ,NA,NA,39.568345323741006
85349,Yuma County,AZ,85.64102564102564,NA,NA
85706,Pima County,AZ,NA,3.678929765886288,NA
85713,Pima County,AZ,4.615384615384616,33.11036789297659,NA
85716,Pima County,AZ,NA,19.063545150501675,NA
85735,Pima County,AZ,NA,94.64882943143813,NA
85737,Pima County,AZ,NA,NA,81.65467625899281
85746,Pima County,AZ,NA,12.040133779264215,39.92805755395683
85757,Pima County,AZ,NA,65.21739130434783,NA
85937,Navajo County,AZ,NA,NA,85.97122302158273
86429,Mohave County,AZ,NA,NA,62.23021582733813
72210,Pulaski County,AR,NA,89.63210702341136,NA
72762,Washington County,AR,49.23076923076923,NA,NA
72908,Sebastian County,AR,NA,NA,92.08633093525181
72916,Sebastian County,AR,93.33333333333333,NA,NA
90027,Los Angeles County,CA,NA,87.29096989966555,NA
90032,Los Angeles County,CA,24.615384615384617,NA,NA
90044,Los Angeles County,CA,NA,33.77926421404682,NA
90241,Los Angeles County,CA,NA,NA,91.00719424460432
90278,Los Angeles County,CA,NA,NA,58.63309352517986
90280,Los Angeles County,CA,58.46153846153847,NA,NA
90504,Los Angeles County,CA,NA,95.65217391304348,NA
90604,Los Angeles County,CA,71.28205128205128,NA,NA
90605,Los Angeles County,CA,NA,NA,76.2589928057554
90638,Los Angeles County,CA,54.871794871794876,NA,NA
90706,Los Angeles County,CA,13.333333333333334,NA,NA
90713,Los Angeles County,CA,48.205128205128204,NA,NA
90717,Los Angeles County,CA,NA,NA,67.26618705035972
90804,Los Angeles County,CA,NA,50.50167224080268,NA
91326,Los Angeles County,CA,NA,NA,58.27338129496403
91340,Los Angeles County,CA,64.61538461538461,NA,NA
91362,Ventura County,CA,47.179487179487175,NA,NA
91709,San Bernardino County,CA,NA,NA,27.697841726618705
91732,Los Angeles County,CA,34.35897435897436,NA,NA
92131,San Diego County,CA,89.74358974358975,NA,NA
92211,Riverside County,CA,NA,NA,10.431654676258994
92395,San Bernardino County,CA,NA,31.103678929765888,NA
92410,San Bernardino County,CA,NA,37.79264214046823,NA
92627,Orange County,CA,41.53846153846154,NA,NA
92656,Orange County,CA,NA,NA,50.35971223021583
92679,Orange County,CA,NA,68.22742474916387,NA
92692,Orange County,CA,NA,NA,64.38848920863309
92804,Orange County,CA,14.871794871794872,NA,NA
93036,Ventura County,CA,NA,NA,52.87769784172662
93041,Ventura County,CA,68.2051282051282,NA,NA
93274,Tulare County,CA,NA,66.22073578595318,NA
93546,Mono County,CA,NA,90.96989966555184,NA
93630,Fresno County,CA,57.43589743589743,NA,NA
93637,Madera County,CA,22.05128205128205,NA,NA
93647,Tulare County,CA,98.97435897435898,NA,NA
93720,Fresno County,CA,20,NA,NA
93727,Fresno County,CA,NA,NA,25.539568345323744
93955,Monterey County,CA,45.64102564102564,NA,NA
94010,San Mateo County,CA,NA,56.85618729096989,NA
94087,Santa Clara County,CA,91.28205128205128,NA,NA
94558,Napa County,CA,NA,NA,7.913669064748201
94589,Solano County,CA,NA,65.21739130434783,NA
94596,Contra Costa County,CA,82.05128205128204,NA,NA
94603,Alameda County,CA,NA,NA,59.352517985611506
94606,Alameda County,CA,NA,NA,63.66906474820144
94806,Contra Costa County,CA,NA,40.13377926421405,NA
94901,Marin County,CA,62.56410256410256,NA,NA
94949,Marin County,CA,NA,NA,75.89928057553958
95207,San Joaquin County,CA,NA,24.74916387959866,NA
95350,Stanislaus County,CA,NA,20.401337792642142,NA
95403,Sonoma County,CA,NA,NA,76.61870503597122
95482,Mendocino County,CA,NA,42.80936454849498,NA
95503,Humboldt County,CA,NA,54.18060200668896,NA
95562,Humboldt County,CA,NA,98.99665551839465,NA
95624,Sacramento County,CA,63.589743589743584,NA,NA
95661,Placer County,CA,NA,NA,83.81294964028777
95667,El Dorado County,CA,NA,NA,26.978417266187048
95677,Placer County,CA,NA,84.61538461538461,NA
95682,El Dorado County,CA,NA,NA,77.33812949640287
95687,Solano County,CA,NA,NA,22.302158273381295
96019,Shasta County,CA,83.07692307692308,NA,NA
80128,Jefferson County,CO,NA,64.88294314381271,NA
80238,Denver County,CO,42.56410256410256,NA,NA
80550,Weld County,CO,21.025641025641026,NA,NA
80631,Weld County,CO,NA,9.03010033444816,NA
80751,Logan County,CO,NA,47.15719063545151,NA
80906,El Paso County,CO,NA,NA,42.086330935251794
80923,El Paso County,CO,88.71794871794872,NA,NA
81625,Moffat County,CO,NA,45.1505016722408,NA
06082,Hartford County,CT,NA,21.73913043478261,NA
