ZipCode,county,state,Adult,Geriatric
35055,Cullman County,AL,55.494505494505496,NA
35125,St. Clair County,AL,56.043956043956044,NA
35146,St. Clair County,AL,NA,95.8955223880597
35223,Jefferson County,AL,NA,75
35769,Jackson County,AL,89.56043956043956,NA
35967,DeKalb County,AL,NA,70.8955223880597
36532,Baldwin County,AL,NA,20.149253731343283
36619,Mobile County,AL,NA,85.44776119402985
99516,Anchorage Municipality,AK,NA,94.02985074626866
99577,Anchorage Municipality,AK,NA,95.1492537313433
85023,Maricopa County,AZ,24.725274725274726,NA
85027,Maricopa County,AZ,38.46153846153847,NA
85031,Maricopa County,AZ,47.8021978021978,NA
85233,Maricopa County,AZ,NA,87.31343283582089
85253,Maricopa County,AZ,84.61538461538461,NA
85255,Maricopa County,AZ,NA,24.62686567164179
85258,Maricopa County,AZ,NA,31.716417910447763
85321,Pima County,AZ,NA,97.76119402985076
85373,Maricopa County,AZ,NA,16.044776119402986
85607,Cochise County,AZ,24.175824175824175,NA
85648,Santa Cruz County,AZ,51.098901098901095,NA
85653,Pima County,AZ,34.065934065934066,NA
85710,Pima County,AZ,NA,5.597014925373134
86404,Mohave County,AZ,NA,39.92537313432835
71603,Jefferson County,AR,NA,21.641791044776117
71655,Drew County,AR,78.57142857142857,NA
71854,Miller County,AR,34.61538461538461,NA
71901,Garland County,AR,71.97802197802197,NA
71968,Garland County,AR,NA,99.6268656716418
72015,Saline County,AR,52.74725274725275,NA
72022,Saline County,AR,NA,66.7910447761194
72120,Pulaski County,AR,44.505494505494504,NA
72207,Pulaski County,AR,NA,86.56716417910447
72916,Sebastian County,AR,NA,98.50746268656717
90008,Los Angeles County,CA,NA,23.134328358208954
90022,Los Angeles County,CA,NA,20.522388059701495
90067,Los Angeles County,CA,NA,77.61194029850746
90201,Los Angeles County,CA,NA,53.35820895522389
90604,Los Angeles County,CA,NA,29.850746268656714
90631,Orange County,CA,NA,57.83582089552238
91402,Los Angeles County,CA,NA,28.35820895522388
91423,Los Angeles County,CA,65.38461538461539,NA
91748,Los Angeles County,CA,NA,32.46268656716418
91750,Los Angeles County,CA,NA,67.53731343283582
91910,San Diego County,CA,NA,10.44776119402985
92101,San Diego County,CA,10.989010989010989,37.6865671641791
92129,San Diego County,CA,NA,45.8955223880597
92154,San Diego County,CA,NA,13.059701492537313
92234,Riverside County,CA,60.98901098901099,NA
92250,Imperial County,CA,NA,90.67164179104478
92320,Riverside County,CA,95.6043956043956,NA
92324,San Bernardino County,CA,18.681318681318682,NA
92626,Orange County,CA,42.30769230769231,NA
92677,Orange County,CA,30.21978021978022,NA
92780,Orange County,CA,NA,36.19402985074627
92801,Orange County,CA,NA,40.67164179104478
93035,Ventura County,CA,NA,72.01492537313433
93401,San Luis Obispo County,CA,NA,51.11940298507462
93536,Los Angeles County,CA,NA,50
94014,San Mateo County,CA,NA,8.955223880597014
94024,Santa Clara County,CA,NA,91.4179104477612
94040,Santa Clara County,CA,71.97802197802197,NA
94603,Alameda County,CA,73.07692307692307,NA
94803,Contra Costa County,CA,NA,55.223880597014926
95037,Santa Clara County,CA,NA,29.47761194029851
95124,Santa Clara County,CA,NA,40.298507462686565
95125,Santa Clara County,CA,NA,24.253731343283583
95337,San Joaquin County,CA,36.26373626373626,NA
95354,Stanislaus County,CA,94.5054945054945,NA
95472,Sonoma County,CA,NA,86.19402985074626
96019,Shasta County,CA,69.78021978021978,NA
80011,Arapahoe County,CO,6.043956043956044,NA
80121,Arapahoe County,CO,NA,52.23880597014925
80202,Denver County,CO,50.54945054945055,NA
80226,Jefferson County,CO,NA,61.940298507462686
80237,Denver County,CO,NA,72.01492537313433
80403,Jefferson County,CO,NA,76.86567164179104
80528,Larimer County,CO,52.197802197802204,NA
80640,Adams County,CO,70.32967032967034,NA
80904,El Paso County,CO,61.53846153846154,NA
80906,El Paso County,CO,83.51648351648352,NA
80907,El Paso County,CO,NA,48.88059701492538
81004,Pueblo County,CO,NA,43.656716417910445
81101,Alamosa County,CO,NA,78.73134328358209
81301,La Plata County,CO,54.94505494505495,NA
81521,Mesa County,CO,NA,74.25373134328358
81621,Eagle County,CO,NA,96.64179104477611
06237,Tolland County,CT,93.95604395604396,NA
06413,Middlesex County,CT,NA,44.02985074626866
06424,Middlesex County,CT,NA,81.34328358208955
06461,New Haven County,CT,NA,63.43283582089553
19966,Sussex County,DE,NA,12.686567164179104
32162,Sumter County,FL,NA,2.2388059701492535
32789,Orange County,FL,NA,50.74626865671642
32976,Brevard County,FL,NA,53.73134328358209
33125,Miami-Dade County,FL,NA,9.701492537313433
33129,Miami-Dade County,FL,91.20879120879121,NA
33155,Miami-Dade County,FL,NA,11.194029850746269
33156,Miami-Dade County,FL,NA,44.02985074626866
33157,Miami-Dade County,FL,NA,19.402985074626866
33160,Miami-Dade County,FL,NA,14.55223880597015
33165,Miami-Dade County,FL,81.86813186813187,NA
33311,Broward County,FL,4.945054945054945,NA
33314,Broward County,FL,NA,90.29850746268657
33351,Broward County,FL,67.58241758241759,NA
33403,Palm Beach County,FL,NA,97.38805970149254
33409,Palm Beach County,FL,NA,84.70149253731343
33534,Hillsborough County,FL,68.68131868131869,NA
33625,Hillsborough County,FL,58.791208791208796,NA
33859,Polk County,FL,NA,79.1044776119403
34113,Collier County,FL,NA,33.95522388059701
34207,Manatee County,FL,NA,49.62686567164179
34221,Manatee County,FL,NA,33.582089552238806
34231,Sarasota County,FL,NA,4.850746268656716
34234,Sarasota County,FL,37.362637362637365,NA
34613,Hernando County,FL,NA,30.597014925373134
34654,Pasco County,FL,NA,59.70149253731343
34683,Pinellas County,FL,NA,80.97014925373134
34741,Osceola County,FL,20.87912087912088,NA
34746,Osceola County,FL,33.51648351648351,NA
34787,Orange County,FL,NA,18.28358208955224
30054,Newton County,GA,65.93406593406593,NA
30157,Paulding County,GA,23.076923076923077,NA
30224,Spalding County,GA,NA,60.820895522388064
30294,DeKalb County,GA,NA,68.28358208955224
30331,Fulton County,GA,14.285714285714285,NA
30650,Morgan County,GA,62.08791208791209,NA
30655,Walton County,GA,NA,54.47761194029851
31533,Coffee County,GA,NA,69.40298507462687
31569,Camden County,GA,96.15384615384616,NA
96749,Hawaii County,HI,78.02197802197803,NA
96782,Honolulu County,HI,NA,41.417910447761194
83704,Ada County,ID,NA,2.6119402985074625
60014,McHenry County,IL,NA,56.343283582089555
60162,Cook County,IL,NA,73.13432835820896
60175,Kane County,IL,NA,34.701492537313435
60490,Will County,IL,NA,95.1492537313433
60513,Cook County,IL,NA,59.32835820895522
60548,DeKalb County,IL,79.67032967032966,NA
60620,Cook County,IL,NA,4.477611940298507
61201,Rock Island County,IL,NA,36.940298507462686
62088,Macoupin County,IL,NA,91.7910447761194
62298,Monroe County,IL,NA,68.28358208955224
62568,Christian County,IL,NA,93.28358208955224
62703,Sangamon County,IL,27.472527472527474,NA
46226,Marion County,IN,NA,21.26865671641791
46235,Marion County,IN,17.582417582417584,NA
46312,Lake County,IN,13.736263736263737,NA
46733,Adams County,IN,41.208791208791204,NA
46804,Allen County,IN,NA,35.44776119402985
46947,Cass County,IN,8.791208791208792,NA
