ZipCode,county,state,Youth,Geriatric
06032,Hartford County,CT,48.497854077253216,NA
06040,Hartford County,CT,37.76824034334764,NA
06052,Hartford County,CT,81.11587982832617,NA
06095,Hartford County,CT,33.047210300429185,NA
06118,Hartford County,CT,57.08154506437768,NA
06410,New Haven County,CT,36.05150214592275,NA
06525,New Haven County,CT,NA,63.101604278074866
06708,New Haven County,CT,20.600858369098713,NA
19711,New Castle County,DE,60.08583690987125,NA
19803,New Castle County,DE,NA,21.92513368983957
19904,Kent County,DE,2.1459227467811157,NA
32063,Baker County,FL,89.69957081545064,NA
32073,Clay County,FL,NA,14.973262032085561
32176,Volusia County,FL,NA,45.98930481283423
32225,Duval County,FL,33.90557939914164,NA
32504,Escambia County,FL,NA,16.042780748663102
32606,Alachua County,FL,NA,54.54545454545454
32736,Lake County,FL,NA,93.58288770053476
32771,Seminole County,FL,NA,34.22459893048128
33027,Broward County,FL,NA,22.459893048128343
33065,Broward County,FL,NA,76.47058823529412
33445,Palm Beach County,FL,76.82403433476395,NA
33547,Hillsborough County,FL,86.26609442060087,NA
33782,Pinellas County,FL,87.98283261802575,NA
33904,Lee County,FL,NA,5.347593582887701
33928,Lee County,FL,50.64377682403433,NA
33956,Lee County,FL,NA,90.9090909090909
33993,Lee County,FL,NA,56.68449197860963
34203,Manatee County,FL,47.63948497854077,NA
34212,Manatee County,FL,50.21459227467812,NA
34453,Citrus County,FL,99.57081545064378,NA
34691,Pasco County,FL,90.12875536480686,NA
34957,Martin County,FL,NA,11.229946524064172
30017,Gwinnett County,GA,82.40343347639485,NA
30022,Fulton County,GA,90.98712446351931,NA
30033,DeKalb County,GA,63.519313304721024,NA
30215,Fayette County,GA,39.05579399141631,NA
30253,Henry County,GA,15.450643776824036,NA
30306,Fulton County,GA,66.09442060085837,NA
30311,Fulton County,GA,NA,12.299465240641712
30318,Fulton County,GA,13.733905579399142,NA
30342,Fulton County,GA,56.65236051502146,NA
30721,Whitfield County,GA,NA,37.967914438502675
96782,Honolulu County,HI,35.1931330472103,NA
60005,Cook County,IL,84.97854077253218,NA
60018,Cook County,IL,NA,85.02673796791443
60021,McHenry County,IL,97.42489270386267,NA
60026,Cook County,IL,NA,18.71657754010695
60102,McHenry County,IL,91.84549356223177,NA
60118,Kane County,IL,NA,57.75401069518716
60119,Kane County,IL,NA,81.81818181818183
60189,DuPage County,IL,18.025751072961373,NA
60431,Will County,IL,74.67811158798283,NA
60453,Cook County,IL,NA,22.994652406417114
60477,Cook County,IL,NA,6.951871657754011
61111,Winnebago County,IL,85.83690987124464,NA
62812,Franklin County,IL,NA,27.27272727272727
62948,Williamson County,IL,NA,57.21925133689839
46112,Hendricks County,IN,32.18884120171674,NA
46143,Johnson County,IN,NA,58.82352941176471
46224,Marion County,IN,13.304721030042918,NA
46321,Lake County,IN,76.39484978540773,NA
47006,Ripley County,IN,NA,79.67914438502673
47129,Clark County,IN,NA,53.475935828877006
47150,Floyd County,IN,NA,16.577540106951872
47987,Fountain County,IN,98.71244635193133,NA
52405,Linn County,IA,22.746781115879827,NA
52804,Scott County,IA,21.45922746781116,NA
66025,Douglas County,KS,75.53648068669528,NA
66061,Johnson County,KS,NA,82.88770053475936
66212,Johnson County,KS,59.65665236051502,NA
66901,Cloud County,KS,39.91416309012876,74.33155080213903
40023,Jefferson County,KY,84.12017167381974,NA
40065,Shelby County,KY,34.33476394849785,NA
40258,Jefferson County,KY,42.06008583690987,NA
40511,Fayette County,KY,17.59656652360515,NA
42301,Daviess County,KY,NA,10.16042780748663
70544,Iberia Parish,LA,NA,62.56684491978609
70808,East Baton Rouge Parish,LA,NA,86.63101604278076
70817,East Baton Rouge Parish,LA,NA,48.663101604278076
04021,Cumberland County,ME,NA,91.97860962566845
04730,Aroostook County,ME,86.26609442060087,NA
04915,Waldo County,ME,82.83261802575107,NA
20705,Prince George's County,MD,54.93562231759657,NA
21207,Baltimore County,MD,NA,45.45454545454545
21782,Washington County,MD,93.56223175965665,NA
21804,Wicomico County,MD,NA,29.411764705882355
01040,Hampden County,MA,40.772532188841204,NA
01118,Hampden County,MA,NA,43.31550802139038
01240,Berkshire County,MA,94.4206008583691,NA
01301,Franklin County,MA,NA,40.64171122994652
01523,Worcester County,MA,80.25751072961373,NA
01550,Worcester County,MA,NA,2.13903743315508
01844,Essex County,MA,1.2875536480686696,NA
01902,Essex County,MA,4.291845493562231,NA
01904,Essex County,MA,96.99570815450643,NA
01915,Essex County,MA,51.931330472103,NA
01960,Essex County,MA,3.4334763948497855,NA
01970,Essex County,MA,78.96995708154506,NA
02145,Middlesex County,MA,88.8412017167382,NA
02148,Middlesex County,MA,0.8583690987124464,NA
02324,Plymouth County,MA,25.321888412017167,NA
02341,Plymouth County,MA,68.6695278969957,NA
02421,Middlesex County,MA,NA,8.55614973262032
02446,Norfolk County,MA,NA,31.550802139037433
48009,Oakland County,MI,83.2618025751073,NA
48030,Oakland County,MI,93.13304721030042,NA
48034,Oakland County,MI,54.93562231759657,NA
48042,Macomb County,MI,55.793991416309005,NA
48089,Macomb County,MI,48.068669527896994,NA
48105,Washtenaw County,MI,73.39055793991416,NA
48108,Washtenaw County,MI,53.21888412017167,NA
48161,Monroe County,MI,6.008583690987124,NA
48180,Wayne County,MI,16.738197424892704,NA
48185,Wayne County,MI,4.721030042918455,NA
48212,Wayne County,MI,42.91845493562232,NA
48219,Wayne County,MI,31.759656652360512,NA
48224,Wayne County,MI,27.896995708154503,NA
48228,Wayne County,MI,9.44206008583691,NA
48239,Wayne County,MI,47.21030042918455,NA
48322,Oakland County,MI,72.1030042918455,NA
48371,Oakland County,MI,68.24034334763948,NA
48382,Oakland County,MI,NA,54.54545454545454
48505,Genesee County,MI,NA,59.35828877005348
