ZipCode,county,state,Pediatric,Adult,Retirement,Geriatric
95667,El Dorado County,CA,NA,NA,6.779661016949152,NA
95687,Solano County,CA,98.09160305343512,NA,NA,NA
95691,Yolo County,CA,87.02290076335878,NA,NA,NA
95757,Sacramento County,CA,NA,NA,60.075329566855,NA
95776,Yolo County,CA,NA,86.0655737704918,NA,NA
95814,Sacramento County,CA,NA,NA,NA,87.66666666666667
95818,Sacramento County,CA,NA,NA,95.85687382297552,NA
95825,Sacramento County,CA,NA,NA,NA,35.66666666666667
95831,Sacramento County,CA,NA,NA,53.86064030131826,NA
95833,Sacramento County,CA,NA,NA,NA,68.66666666666667
95945,Nevada County,CA,NA,NA,72.50470809792844,NA
95961,Yuba County,CA,NA,NA,70.05649717514125,NA
96094,Siskiyou County,CA,NA,NA,69.86817325800376,NA
80003,Jefferson County,CO,NA,NA,NA,62.66666666666667
80005,Jefferson County,CO,NA,NA,66.10169491525424,NA
80011,Arapahoe County,CO,NA,NA,NA,74.33333333333333
80013,Arapahoe County,CO,NA,NA,26.365348399246702,NA
80017,Arapahoe County,CO,NA,NA,NA,60
80022,Adams County,CO,NA,NA,44.44444444444444,NA
80108,Douglas County,CO,NA,NA,61.5819209039548,NA
80121,Arapahoe County,CO,NA,NA,NA,50.66666666666667
80122,Arapahoe County,CO,NA,NA,55.932203389830505,NA
80124,Douglas County,CO,NA,NA,NA,91
80134,Douglas County,CO,NA,NA,40.67796610169492,NA
80204,Denver County,CO,35.87786259541985,NA,NA,85
80205,Denver County,CO,51.526717557251914,17.48633879781421,NA,NA
80210,Denver County,CO,NA,83.06010928961749,NA,NA
80211,Denver County,CO,NA,45.3551912568306,50.470809792843696,NA
80216,Denver County,CO,NA,NA,90.58380414312617,NA
80219,Denver County,CO,NA,8.469945355191257,59.887005649717516,NA
80223,Denver County,CO,NA,NA,57.06214689265536,NA
80239,Denver County,CO,33.587786259541986,NA,54.61393596986818,NA
80249,Denver County,CO,NA,NA,75.14124293785311,NA
81323,Montezuma County,CO,NA,NA,NA,61.33333333333333
06424,Middlesex County,CT,NA,NA,79.84934086629002,NA
06708,New Haven County,CT,NA,NA,39.548022598870055,NA
06851,Fairfield County,CT,NA,65.02732240437157,NA,NA
32046,Nassau County,FL,NA,NA,86.25235404896422,NA
32073,Clay County,FL,NA,NA,NA,81.66666666666667
32211,Duval County,FL,NA,NA,46.516007532956685,NA
32431,Jackson County,FL,NA,NA,85.12241054613936,NA
32526,Escambia County,FL,NA,NA,12.052730696798493,NA
32605,Alachua County,FL,NA,NA,NA,19.333333333333332
32615,Alachua County,FL,NA,69.67213114754098,NA,NA
32669,Alachua County,FL,NA,NA,68.36158192090396,NA
32765,Seminole County,FL,NA,NA,45.951035781544256,NA
33029,Broward County,FL,NA,NA,NA,46.666666666666664
33055,Miami-Dade County,FL,NA,57.92349726775956,NA,NA
33134,Miami-Dade County,FL,NA,NA,NA,26.333333333333332
33139,Miami-Dade County,FL,NA,NA,54.23728813559322,NA
33142,Miami-Dade County,FL,NA,NA,24.105461393596986,NA
33157,Miami-Dade County,FL,24.80916030534351,NA,NA,NA
33172,Miami-Dade County,FL,NA,NA,61.77024482109228,NA
33175,Miami-Dade County,FL,NA,NA,27.49529190207156,NA
33179,Miami-Dade County,FL,NA,84.97267759562843,NA,NA
33186,Miami-Dade County,FL,NA,NA,NA,23
33196,Miami-Dade County,FL,NA,70.49180327868852,NA,NA
33418,Palm Beach County,FL,NA,NA,31.826741996233523,NA
33436,Palm Beach County,FL,NA,NA,51.78907721280602,NA
33470,Palm Beach County,FL,NA,NA,80.0376647834275,NA
33487,Palm Beach County,FL,NA,89.89071038251366,NA,NA
33576,Pasco County,FL,NA,NA,94.91525423728814,NA
33603,Hillsborough County,FL,NA,NA,91.52542372881356,NA
33868,Polk County,FL,NA,NA,79.66101694915254,NA
33950,Charlotte County,FL,NA,NA,34.27495291902072,NA
33952,Charlotte County,FL,NA,33.060109289617486,NA,NA
33953,Charlotte County,FL,NA,94.26229508196722,NA,NA
33967,Lee County,FL,NA,65.02732240437157,NA,NA
34110,Collier County,FL,NA,NA,54.048964218455744,NA
34114,Collier County,FL,NA,NA,40.30131826741996,NA
34145,Collier County,FL,NA,NA,47.45762711864407,NA
34287,Sarasota County,FL,NA,89.61748633879782,NA,NA
34292,Sarasota County,FL,NA,NA,51.60075329566855,NA
30024,Gwinnett County,GA,NA,NA,62.71186440677966,NA
30032,DeKalb County,GA,NA,49.45355191256831,NA,NA
30044,Gwinnett County,GA,NA,NA,18.455743879472696,NA
30062,Cobb County,GA,NA,NA,NA,63
30096,Gwinnett County,GA,NA,NA,NA,17
30108,Carroll County,GA,NA,93.71584699453553,NA,NA
30134,Douglas County,GA,NA,32.51366120218579,NA,NA
30269,Fayette County,GA,NA,NA,NA,54
30307,DeKalb County,GA,NA,NA,78.71939736346516,NA
30312,Fulton County,GA,NA,NA,80.60263653483992,NA
30315,Fulton County,GA,NA,NA,63.653483992467045,NA
30318,Fulton County,GA,NA,37.43169398907104,NA,NA
30331,Fulton County,GA,NA,22.404371584699454,NA,NA
30349,Fulton County,GA,NA,NA,NA,63.66666666666667
30809,Columbia County,GA,NA,NA,NA,96
31024,Putnam County,GA,NA,NA,74.57627118644068,NA
31093,Houston County,GA,NA,NA,37.09981167608286,NA
96701,Honolulu County,HI,NA,42.62295081967213,NA,NA
96707,Honolulu County,HI,NA,NA,35.2165725047081,NA
96766,Kauai County,HI,NA,NA,74.76459510357816,NA
96797,Honolulu County,HI,NA,NA,9.6045197740113,NA
96813,Honolulu County,HI,NA,NA,NA,38.666666666666664
96819,Honolulu County,HI,NA,NA,17.51412429378531,NA
